model,feature,importance,permutation_importance_mean,permutation_importance_std,threshold_tuned_on_val,test_auroc,test_f1,bits_test_auroc,bits_test_f1,weda_test_auroc,weda_test_f1
gradient_boosting,az_mean,0.00030393580401473654,-5.6088879300997264e-05,0.0004779400099780215,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,roll_max,2.3855389619893417e-05,-7.550426059748095e-05,4.651894866323575e-05,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,az_max,0.0022407400425398286,-0.00014345809513528486,0.0009549527118221299,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,roll_range,0.00035184668977336614,-0.0002675008089741859,0.0005475543803874391,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
gradient_boosting,ay_mean,0.0004828423667474984,-0.000427138388523296,0.00028024519364130003,0.8300000000000001,0.9882429079926653,0.9241379310344827,0.9871527777777778,0.9148936170212766,0.9989677419354839,0.9411764705882353
hist_gradient_boosting,impact_distance_from_center,,0.1086873044978967,0.007148888420394571,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,tilt_delta_std,,0.005337072591953462,0.0012371192992479672,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,gx_min,,0.0014216373638226809,0.0014087928814389729,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,impact_index,,0.0012835724301586081,0.0010742332905489395,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,gy_max,,0.0010807895588394235,0.0006963287864974511,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,roll_final_initial,,0.0009880271815338793,0.000305814607212513,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,gz_range,,0.0007895588393916797,0.0003666334476568603,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,gyro_peak_distance_from_center,,0.0005112717074749251,0.000325461097029811,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,gz_std,,0.0004789127386474301,8.287939903912563e-05,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,post_gyro_mag_std,,0.0004724409448818911,0.00014259176243906698,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,az_std,,0.0004659691511163966,0.0006962452399423253,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
hist_gradient_boosting,gyro_mag_mean,,0.0003990939488728418,0.0008141923534747599,0.09,0.995124582029986,0.9517241379310345,0.9959201388888889,0.946236559139785,1.0,0.9615384615384616
