comparison,feature,n_pos,n_neg,median_pos,median_neg,iqr_pos,iqr_neg,cohens_d,cliffs_delta,ks_statistic,mannwhitney_p,auroc,abs_auc,average_precision
bits_nonfall_vs_weda_nonfall,gy_std,480,155,0.06332654505968094,0.8348112106323242,0.4528459692373872,1.1023598313331604,-1.3582326833511529,-0.6635483870967742,0.589516129032258,1.7891452283531154e-35,0.1682258064516129,0.8317741935483871,0.5917665749263907
bits_nonfall_vs_weda_nonfall,gx_range,480,155,0.5700594186782837,5.280421257019043,3.1504765525460243,6.687119126319885,-1.315214934149087,-0.6579032258064517,0.5334677419354839,6.677596591390928e-35,0.1710483870967742,0.8289516129032258,0.5932903366485318
bits_nonfall_vs_weda_nonfall,gx_min,480,155,-0.37604865431785583,-2.598989963531494,1.3683381974697113,4.415792226791382,1.2173685918054635,0.6551075268817205,0.5445564516129032,1.27575128461331e-34,0.8275537634408602,0.8275537634408602,0.9392364485799118
bits_nonfall_vs_weda_nonfall,pitch_std,480,155,0.02563679777085781,0.24417223036289215,0.08914341405034065,0.2964673489332199,-0.9805975391784981,-0.6501344086021505,0.5816532258064516,4.020334252475523e-34,0.17493279569892473,0.8250672043010753,0.617003997369928
bits_nonfall_vs_weda_nonfall,gy_min,480,155,-0.0838107168674469,-1.5658535957336426,0.5922949239611626,1.5003651082515717,1.209101803815563,0.6445967741935484,0.5520833333333334,1.4243733860579834e-33,0.8222983870967742,0.8222983870967742,0.9324119420022192
bits_nonfall_vs_weda_nonfall,jerk_p95,480,155,2.930983304977415,37.089946365356404,16.16092319488525,60.16977353096004,-0.777542701632278,-0.6436021505376344,0.5426075268817204,1.7884361442581003e-33,0.1781989247311828,0.8218010752688172,0.6115780609685862
bits_nonfall_vs_weda_nonfall,ax_range,480,155,0.7623138427734375,10.629473686218262,5.191346764564514,14.709046602249146,-0.8680200924145373,-0.6408602150537634,0.5283602150537634,3.331209730303592e-33,0.17956989247311828,0.8204301075268817,0.6147359947084774
bits_nonfall_vs_weda_nonfall,roll_std,480,155,0.046668270602822304,0.4712584912776947,0.22179281013086438,0.9699384123086929,-1.105658141083242,-0.6389516129032258,0.5282930107526882,5.131381749251251e-33,0.1805241935483871,0.8194758064516129,0.6014330745249777
bits_nonfall_vs_weda_nonfall,gyro_mag_range,480,155,0.5791229903697968,3.972357749938965,2.172254767268896,4.536560773849487,-1.272179705835669,-0.6337096774193548,0.5443548387096774,1.6673046370199926e-32,0.1831451612903226,0.8168548387096775,0.5997667429430172
bits_nonfall_vs_weda_nonfall,acc_mag_range,480,155,0.6464614868164062,10.984392166137695,5.240738034248352,15.190143346786499,-0.7576555653657059,-0.6301881720430108,0.526008064516129,3.65987600992327e-32,0.18490591397849465,0.8150940860215053,0.6340434273331401
bits_nonfall_vs_weda_nonfall,acc_mag_max,480,155,10.133567810058594,16.286418914794922,3.527764081954956,13.10940933227539,-0.6985774351984356,-0.6259677419354839,0.5237903225806452,9.333631792075345e-32,0.18701612903225806,0.8129838709677419,0.6359028898569435
bits_nonfall_vs_weda_nonfall,gyro_mag_max,480,155,0.6131690442562103,4.106585502624512,2.4858970399945974,4.785730481147766,-1.247784797367812,-0.6206989247311828,0.5301747311827957,2.9810675756870704e-31,0.18965053763440862,0.8103494623655914,0.6037317982324844
bits_nonfall_vs_weda_nonfall,gx_max,480,155,0.23872613906860352,2.0514562129974365,1.3404216635972261,2.7715952396392822,-1.0922451947232372,-0.6154301075268818,0.4903897849462366,9.424079490862948e-31,0.19228494623655915,0.8077150537634409,0.6041046301324937
bits_nonfall_vs_weda_nonfall,ay_std,480,155,0.2322482466697693,1.6355715990066528,0.8790451735258102,3.179137647151947,-0.5937239664826458,-0.609758064516129,0.5684811827956989,3.222897832241714e-30,0.19512096774193546,0.8048790322580646,0.633048615248933
bits_nonfall_vs_weda_nonfall,gyro_mag_std,480,155,0.12703022360801697,0.8946061134338379,0.5746799455955625,1.1152403056621552,-1.0758541486244497,-0.5993548387096774,0.5147177419354839,2.979628076331738e-29,0.20032258064516129,0.7996774193548387,0.6093261270361241
bits_nonfall_vs_weda_nonfall,ax_std,480,155,0.169770710170269,2.3784143924713135,1.2984385965391994,3.282608151435852,-0.6900392831542728,-0.5966935483870968,0.5130376344086022,5.231510023048219e-29,0.20165322580645156,0.7983467741935484,0.6344644063673682
bits_nonfall_vs_weda_nonfall,roll_max,480,155,-0.6659801602363586,0.4158647358417511,0.9956153070670553,3.173314794898033,-1.0318535544626977,-0.5946505376344086,0.5002016129032258,8.035568905770252e-29,0.20267473118279572,0.7973252688172043,0.6087808824239486
bits_nonfall_vs_weda_nonfall,gx_std,480,155,0.14132045954465866,0.9798392653465271,0.7989489156752825,1.3884357511997223,-1.074792155308061,-0.5824731182795699,0.4876344086021505,1.0156798255049917e-27,0.20876344086021506,0.791236559139785,0.6133201678346561
bits_nonfall_vs_weda_nonfall,gyro_mag_p95,480,155,0.5128731086850167,3.273096680641169,2.2692996373400094,3.9766943573951714,-0.9654785082090014,-0.5573387096774194,0.4957661290322581,1.6164494061927573e-25,0.2213306451612903,0.7786693548387097,0.6240142618175322
bits_nonfall_vs_weda_nonfall,acc_mag_std,480,155,0.15783022344112396,1.913029432296753,1.3005122188478708,2.2222617864608765,-0.4279944354602216,-0.5543010752688172,0.5036962365591398,2.940317109019001e-25,0.22284946236559142,0.7771505376344086,0.6586275782161974
bits_nonfall_vs_weda_nonfall,gz_max,480,155,0.19376645982265472,1.2000000476837158,1.039692647755146,1.835660457611084,-0.8576926829390781,-0.5468951612903226,0.4633736559139785,1.2445337266666109e-24,0.22655241935483872,0.7734475806451613,0.62509269440763
bits_nonfall_vs_weda_nonfall,post_gyro_mag_std,480,155,0.044241487979888916,0.648429811000824,0.36343865178059787,1.0342082604765892,-1.0289826404074387,-0.5316935483870968,0.4726478494623656,2.202676831612152e-23,0.23415322580645162,0.7658467741935484,0.6154833035226146
bits_nonfall_vs_weda_nonfall,pitch_min,480,155,0.8630653321743011,-0.33247852325439453,1.2414760161191225,1.5107181668281555,1.006135155316224,0.5289784946236559,0.4545698924731183,3.788323838438338e-23,0.764489247311828,0.764489247311828,0.9070641087431179
bits_nonfall_vs_weda_nonfall,ax_max,480,155,-5.745844602584839,1.9894737005233765,9.480320230126381,11.614884853363037,-1.113547508989192,-0.5248387096774193,0.45416666666666666,8.20734922953969e-23,0.2375806451612903,0.7624193548387097,0.6137525185593294
bits_nonfall_vs_weda_nonfall,gz_range,480,155,0.592172771692276,2.5157480239868164,2.2033298313617706,3.4466137290000916,-0.8333462062673471,-0.5125537634408602,0.44294354838709676,7.8644384659637585e-22,0.24372311827956988,0.7562768817204302,0.6306159669733896
bits_nonfall_vs_weda_nonfall,ay_max,480,155,-2.282392382621765,1.7696629762649536,3.1443051286041737,7.904297828674316,-1.0079441744975632,-0.5058602150537634,0.41498655913978494,2.633421401027645e-21,0.24706989247311828,0.7529301075268817,0.6194864344189444
bits_nonfall_vs_weda_nonfall,acc_mag_p95,480,155,10.044456243515015,12.599883270263671,2.8727754831314094,5.214267158508294,-0.3374019264132333,-0.5031989247311828,0.48736559139784946,4.2419040369138984e-21,0.2484005376344086,0.7515994623655914,0.6695917876414953
bits_nonfall_vs_weda_nonfall,gyro_mag_mean,480,155,0.25904974341392517,1.3343297243118286,1.2094751568511128,1.725657045841217,-0.8023155079924524,-0.4857795698924731,0.4223790322580645,9.025562474980917e-20,0.2571102150537634,0.7428897849462366,0.6347963830418892
bits_nonfall_vs_weda_nonfall,gz_min,480,155,-0.34746015071868896,-1.1984375715255737,0.8781187878921628,1.598308026790619,0.6616996242596767,0.47817204301075267,0.41545698924731184,3.316480964492197e-19,0.7390860215053763,0.7390860215053763,0.8948300091405238
