comparison,feature,pos_group,neg_group,n_pos,n_neg,median_pos,median_neg,iqr_pos,iqr_neg,median_delta,cohens_d,ks_statistic,mannwhitney_p
weda_tp_vs_fn,gx_range,TP,FN,24,1,10.714250087738037,18.64939308166504,3.4347918033599854,0.0,-7.935142993927002,,0.9583333333333334,0.16
weda_tp_vs_fn,gyro_mag_range,TP,FN,24,1,10.528099060058594,20.944435119628906,5.075003623962402,0.0,-10.416336059570312,,1.0,0.08
weda_tp_vs_fn,gyro_mag_max,TP,FN,24,1,10.673789501190186,21.085857391357422,5.017674207687378,0.0,-10.412067890167236,,1.0,0.08
weda_tp_vs_fn,ay_std,TP,FN,24,1,6.283246278762817,6.460409641265869,2.303736686706543,0.0,-0.17716336250305176,,0.5416666666666666,0.9599999999999999
weda_tp_vs_fn,post_acc_mag_std,TP,FN,24,1,6.338131904602051,3.9801766872406006,2.680490732192993,0.0,2.35795521736145,,0.9166666666666666,0.24
weda_tp_vs_fn,ay_max,TP,FN,24,1,13.396120548248291,4.825000286102295,15.126931548118591,0.0,8.571120262145996,,0.9583333333333334,0.16
weda_tp_vs_fn,gy_std,TP,FN,24,1,2.1614038944244385,2.266075849533081,0.9344098269939423,0.0,-0.10467195510864258,,0.5833333333333334,0.8799999999999999
weda_fp_vs_tn,impact_distance_from_center,FP,TN,21,134,11.0,13.0,11.0,14.75,-2.0,-0.19008052686339083,0.1396588486140725,0.4111722147793364
weda_fp_vs_tn,az_range,FP,TN,21,134,26.27619171142578,11.277196884155273,13.68963623046875,12.897424697875977,14.998994827270508,1.5774787152231937,0.6435678749111585,2.7488269544214e-07
weda_fp_vs_tn,az_std,FP,TN,21,134,6.04048490524292,2.3641016483306885,1.197723388671875,3.1539239585399628,3.6763832569122314,1.7025991883941707,0.7153518123667377,6.346674850521921e-08
weda_fp_vs_tn,tilt_delta_std,FP,TN,21,134,7.782095432281494,2.1087037324905396,4.5521674156188965,3.4192699939012527,5.673391699790955,1.739848196365607,0.6407249466950959,2.6125281625872732e-08
weda_fp_vs_tn,tilt_delta_max,FP,TN,21,134,15.114352226257324,6.319712162017822,11.714247703552246,7.72281688451767,8.794640064239502,1.499274746638853,0.6389481165600569,4.0409865431388697e-07
weda_fp_vs_tn,tilt_delta_p95,FP,TN,21,134,10.702817296981808,2.997624695301054,12.21530010700224,4.098909950256344,7.7051926016807535,2.1703088748280788,0.6791044776119403,1.653944351619135e-09
weda_fp_vs_tn,jerk_max,FP,TN,21,134,264.60174560546875,77.48405838012695,146.20965576171875,140.7497673034668,187.1176872253418,1.4802001128807314,0.6304193319118693,1.8804855911737678e-07
weda_fp_vs_tn,jerk_std,FP,TN,21,134,115.78729248046875,26.461010932922363,50.71886444091797,36.20753788948059,89.32628154754639,2.3092057695111228,0.767590618336887,8.77337511389537e-10
weda_fp_vs_tn,ax_range,FP,TN,21,134,28.179262161254883,8.99114990234375,23.955692291259766,11.884173393249512,19.188112258911133,1.8162150823981056,0.6389481165600569,9.550786457588195e-09
weda_fp_vs_tn,acc_mag_range,FP,TN,21,134,30.20196533203125,10.154827117919922,13.103693008422852,9.804564595222473,20.047138214111328,1.877174326707572,0.7228144989339019,5.198764247089241e-09
weda_fp_vs_tn,ay_range,FP,TN,21,134,31.186206817626953,7.553183555603027,10.691198348999023,8.800023794174194,23.633023262023926,2.1805769144291856,0.8507462686567164,9.107090773419795e-11
weda_fp_vs_tn,acc_mag_max,FP,TN,21,134,33.41136932373047,16.011388778686523,14.062311172485352,9.371668338775635,17.399980545043945,1.9466006773567677,0.6556503198294243,5.875335228013823e-09
weda_fp_vs_tn,gy_range,FP,TN,21,134,10.262229919433594,3.2640280723571777,1.6610908508300781,3.1897727251052856,6.998201847076416,1.9928736870305106,0.7377398720682303,2.1108897640543236e-08
weda_fp_vs_tn,az_min,FP,TN,21,134,-5.955555438995361,-1.447860836982727,12.53290057182312,6.257894515991211,-4.507694602012634,-1.3576645376190508,0.6062544420753376,1.8243207251705345e-05
weda_fp_vs_tn,jerk_p95,FP,TN,21,134,185.82050476074212,29.68657422065732,102.26328353881837,39.28197870254512,156.1339305400848,2.7521196906393954,0.7825159914712153,4.7008409110189596e-11
weda_fp_vs_tn,roll_range,FP,TN,21,134,6.010187149047852,1.6321781873703003,0.6926407814025879,4.362965106964111,4.378008961677551,1.187349356963386,0.5483297796730633,1.4947322609821255e-05
weda_fp_vs_tn,ax_std,FP,TN,21,134,6.265960216522217,2.1195054054260254,2.2878856658935547,2.6893036365509033,4.146454811096191,1.8561980023709572,0.6734186211798152,1.5783195249166798e-09
weda_fp_vs_tn,acc_mag_std,FP,TN,21,134,6.470903396606445,1.7405670285224915,2.7434592247009277,1.8602544665336609,4.730336368083954,2.3820020593927005,0.7825159914712153,1.4792580583707114e-09
weda_fp_vs_tn,gx_range,FP,TN,21,134,10.122194290161133,4.1633641719818115,3.1022090911865234,4.695672035217285,5.958830118179321,1.1076957082164638,0.7107320540156361,1.6591206642798117e-07
weda_fp_vs_tn,gyro_mag_range,FP,TN,21,134,9.695518493652344,3.729790449142456,5.017998218536377,3.1223400235176086,5.965728044509888,1.3439464089233202,0.7164179104477612,1.7362312879260215e-08
weda_fp_vs_tn,gyro_mag_max,FP,TN,21,134,10.43981647491455,3.978471517562866,5.285425662994385,3.266629159450531,6.461344957351685,1.3974086538842234,0.746268656716418,1.1279262827519332e-08
weda_fp_vs_tn,ay_std,FP,TN,21,134,7.073559284210205,1.509219765663147,3.1932644844055176,1.8048870116472244,5.564339518547058,2.565628466161277,0.8702914001421465,2.86982547780593e-11
weda_fp_vs_tn,post_acc_mag_std,FP,TN,21,134,3.886348009109497,0.9255913496017456,3.584547996520996,1.5907452329993248,2.9607566595077515,1.5821047502521248,0.6275764036958067,3.012058328476132e-08
weda_fp_vs_tn,ay_max,FP,TN,21,134,10.410588264465332,0.841659277677536,7.579309940338135,5.741018533706665,9.568928986787796,1.705451973711119,0.7135749822316987,8.810003559175995e-09
weda_fp_vs_tn,gy_std,FP,TN,21,134,2.264096260070801,0.6993908286094666,0.6298514604568481,0.891884833574295,1.5647054314613342,1.8276018351327235,0.7125088841506751,5.4684593986165766e-09
weda_fn_vs_bits_tp,impact_distance_from_center,FN,BITS_TP,1,43,0.0,0.0,0.0,0.0,0.0,,0.0,1.0
weda_fn_vs_bits_tp,az_range,FN,BITS_TP,1,43,14.73480224609375,40.26568603515625,0.0,41.14627170562744,-25.5308837890625,,0.9069767441860465,0.2272727272727273
weda_fn_vs_bits_tp,az_std,FN,BITS_TP,1,43,4.1100687980651855,7.9326982498168945,0.0,5.820824861526489,-3.822629451751709,,0.8837209302325582,0.27272727272727276
weda_fn_vs_bits_tp,tilt_delta_std,FN,BITS_TP,1,43,4.082401752471924,5.220156192779541,0.0,1.889286994934082,-1.1377544403076172,,0.7906976744186046,0.45454545454545464
weda_fn_vs_bits_tp,tilt_delta_max,FN,BITS_TP,1,43,11.954496383666992,12.626032829284668,0.0,7.033008575439453,-0.6715364456176758,,0.5813953488372093,0.8636363636363634
weda_fn_vs_bits_tp,tilt_delta_p95,FN,BITS_TP,1,43,8.30140993595122,8.492022180557251,0.0,4.526975548267363,-0.1906122446060312,,0.5116279069767442,0.9999999999999997
weda_fn_vs_bits_tp,jerk_max,FN,BITS_TP,1,43,180.53907775878906,501.1393737792969,0.0,449.6647033691406,-320.6002960205078,,0.8604651162790697,0.31818181818181823
