seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,E3_direction_macro_f1,E6_direction_macro_f1,E7_direction_macro_f1,score_best_observed,min_E3_E6_E7,std_E3_E6_E7,E3_E2E_direction_macro_f1,E6_E2E_direction_macro_f1,E7_E2E_direction_macro_f1,avg_E2E_direction_macro_f1,validation_test_gap_E3,params,model_path
11,0.0005,16,0.9045026547204248,0.4262765049934387,0.7789795488087708,0.7921245421245421,0.7592592592592592,0.7770069599386488,0.7592592592592592,0.016541903795126416,0.6973775017253279,0.6717667559182287,0.7102941176470589,0.6931461250968719,0.12552310591165394,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed11_lr0.0005.pt
12,0.001,17,0.9340284566091017,0.3374505341053009,0.8496963562753036,0.8867258867258868,0.7973684210526315,0.8451068348436769,0.7973684210526315,0.044896465342693065,0.7712746760365808,0.7284780578898226,0.7911764705882353,0.7636430681715463,0.08433210033379812,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed12_lr0.001.pt
12,0.0005,46,0.945850331463539,0.28899991512298584,0.868545885787265,0.8579140158087526,0.8777777777777779,0.8681258923908652,0.8579140158087526,0.009940100003911635,0.7641093474426808,0.6857142857142856,0.8299081035923143,0.7599105789164269,0.07730444567627404,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed12_lr0.0005.pt
13,0.001,14,0.8599771408854672,0.41380929946899414,0.8904320987654321,0.8732563732563733,0.9153439153439153,0.8927529260862594,0.8732563732563733,0.02116193654880208,0.7980952380952381,0.7186147186147186,0.8739495798319328,0.7968865121806298,-0.030454957879964883,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed13_lr0.001.pt
13,0.0005,29,0.8799145299145299,0.3996807038784027,0.8557603686635945,0.8354438354438355,0.8684960263907632,0.8534861060158174,0.8354438354438355,0.01667036205468321,0.780578898225957,0.7186147186147186,0.8272163566281213,0.7754699911562657,0.02415416125093539,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed13_lr0.0005.pt
14,0.001,15,0.8791208791208791,0.3868715465068817,0.8925324675324675,0.8662945241892611,0.9214177978883861,0.8933266836362811,0.8662945241892611,0.027572230244579117,0.8332814607324411,0.7149930679342443,0.9177140941846824,0.8219962076171227,-0.013411588411588404,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed14_lr0.001.pt
14,0.0005,22,0.893952588292211,0.3883039653301239,0.8613636363636363,0.8449536493014754,0.8740740740740741,0.8602537715581194,0.8449536493014754,0.014599326703126794,0.8011619462599855,0.6918459961938223,0.8703703703703703,0.7877927709413927,0.032588951928574694,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed14_lr0.0005.pt
21,0.001,10,0.8595941263817851,0.45984360575675964,0.7728220831669107,0.7222222222222222,0.8309200603318251,0.7750715180329786,0.7222222222222222,0.05439200444915006,0.6887883358471593,0.586231884057971,0.7871120107962213,0.6873774102337838,0.08677204321487442,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed21_lr0.001.pt
21,0.0005,24,0.8581369248035915,0.43068793416023254,0.8496238173657528,0.8434065934065934,0.8684960263907632,0.853420312885508,0.8434065934065934,0.013065819241499143,0.754320987654321,0.6818840579710145,0.8272163566281213,0.7544738007511523,0.00851310743783873,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed21_lr0.0005.pt
22,0.001,17,0.9169312169312169,0.35341110825538635,0.8234554199038105,0.8320946364424625,0.7896613190730838,0.8159089546161882,0.7896613190730838,0.02242492562726226,0.7295868494025175,0.6585858585858586,0.7463924963924965,0.7115217347936241,0.09347579702740638,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed22_lr0.001.pt
22,0.0005,26,0.9169312169312169,0.41382527351379395,0.8255892255892255,0.8354438354438355,0.7896613190730838,0.817767236590766,0.7896613190730838,0.024096910615461837,0.7512755102040817,0.7186147186147186,0.7463924963924965,0.7387609084037656,0.09134199134199139,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed22_lr0.0005.pt
23,0.001,13,0.9303443794671865,0.39927366375923157,0.8354497354497354,0.8051408051408052,0.8760135633200649,0.8385262047181552,0.8051408051408052,0.03555981636599829,0.759175465057818,0.6896613190730837,0.832010582010582,0.7602824553804944,0.09489464401745107,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed23_lr0.001.pt
23,0.0005,26,0.9104365196319218,0.37274670600891113,0.8734848484848484,0.8459888459888459,0.9153439153439153,0.8777937677937677,0.8459888459888459,0.034924531198997494,0.7980952380952381,0.7186147186147186,0.8739495798319328,0.7968865121806298,0.03695167114707343,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed23_lr0.0005.pt
24,0.001,17,0.8254558160218538,0.5183209776878357,0.8287559505975565,0.7838827838827839,0.8704453441295547,0.8278008186427241,0.7838827838827839,0.04329103729517502,0.7698412698412698,0.6814192343604107,0.8293950058655941,0.7602185033557581,-0.0033001345757026623,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed24_lr0.001.pt
24,0.0005,28,0.8458057113717491,0.5205766558647156,0.8179257949372891,0.772972972972973,0.8325224826772814,0.808818954669992,0.772972972972973,0.031037513865100577,0.7364565259302102,0.6161616161616162,0.7890211640211641,0.7138797687043302,0.027879916434459973,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed24_lr0.0005.pt
25,0.001,25,0.9316239316239315,0.2945794463157654,0.7686336218200891,0.8034920634920635,0.7178362573099415,0.7638519449686371,0.7178362573099415,0.04307435495683499,0.7178362573099415,0.705050505050505,0.7075163398692811,0.7101343674099092,0.16299030980384244,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed25_lr0.001.pt
25,0.0005,25,0.9363044892648015,0.32321619987487793,0.7707270950195478,0.8111721611721613,0.7261958314589894,0.7695012357971643,0.7261958314589894,0.04250453587934451,0.7198879551820728,0.7186147186147186,0.7117479470420647,0.7167502069462853,0.16557739424525364,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed25_lr0.0005.pt
42,0.001,11,0.8928812415654521,0.40853050351142883,0.8829185520361991,0.8902319902319903,0.8834795321637428,0.8852808775331996,0.8829185520361991,0.004070150834850353,0.7883005385804939,0.7317028985507247,0.837037037037037,0.7856801580560852,0.009962689529253055,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.001.pt
42,0.0005,23,0.8928812415654521,0.42846181988716125,0.8444155280850142,0.8492063492063492,0.8374727668845315,0.8437699460612698,0.8374727668845315,0.005899588321886373,0.7418524332810047,0.6689814814814815,0.7911764705882353,0.7340034617835739,0.04846571348043793,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed42_lr0.0005.pt
43,0.001,13,0.8916293916293917,0.3871763348579407,0.8716991341991341,0.8681704260651628,0.8772175536881419,0.8722960476056452,0.8681704260651628,0.004559884007623581,0.7973807554452715,0.7131465026201869,0.8722050223598211,0.7942440934750933,0.01993025743025756,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed43_lr0.001.pt
43,0.0005,16,0.8914640914640914,0.4659833610057831,0.8439325419257585,0.8111111111111112,0.8772175536881419,0.8440716162100794,0.8111111111111112,0.033053492198084344,0.7638095238095238,0.6592592592592592,0.8361111111111111,0.7530599647266314,0.04753154953833294,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed43_lr0.0005.pt
44,0.001,8,0.8464773572134003,0.5116893649101257,0.7786137234413096,0.7754385964912279,0.769023569023569,0.7747841390309629,0.769023569023569,0.004885438743791974,0.703448275862069,0.651702786377709,0.7284780578898226,0.6945430400432002,0.0678636337720907,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.001.pt
44,0.0005,13,0.8606887589343731,0.4860003590583801,0.8344086021505376,0.7962247962247962,0.880141530296329,0.8366733388165526,0.7962247962247962,0.04201492197024598,0.7559705363626933,0.6666666666666666,0.8366402116402116,0.7530924715565238,0.02628015678383555,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.0005.pt
45,0.001,12,0.8799875143961166,0.39094385504722595,0.8028762198253725,0.8051408051408052,0.7896613190730838,0.7995911251943157,0.7896613190730838,0.008360387126847016,0.7254480286738353,0.6896613190730837,0.7463924963924965,0.7205006147131385,0.07711129457074406,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed45_lr0.001.pt
45,0.0005,33,0.8772175536881419,0.4301561713218689,0.7839520431171975,0.718114478114478,0.8476533213375319,0.783311157082482,0.718114478114478,0.06477235742192124,0.738897268309033,0.6360507246376811,0.8383940620782727,0.7377806850083289,0.09326551057094445,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed45_lr0.0005.pt
46,0.001,18,0.8788964303670186,0.3708952069282532,0.8155388471177943,0.8513457556935817,0.7658730158730159,0.811381170317097,0.7658730158730159,0.0429232236041356,0.7379937482239273,0.6950757575757575,0.7582972582972584,0.7304555880323144,0.06335758324922425,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed46_lr0.001.pt
46,0.0005,34,0.8881874701099952,0.37062790989875793,0.831001031991744,0.8732563732563733,0.7658730158730159,0.8241392295355143,0.7658730158730159,0.05409614556798145,0.7543520309477755,0.7186147186147186,0.7582972582972584,0.7437546692865841,0.05718643811825119,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed46_lr0.0005.pt
50,0.001,16,0.8610692140103905,0.45524898171424866,0.8320261437908497,0.8513457556935817,0.8005050505050506,0.8283656993759296,0.8005050505050506,0.025663216315936738,0.7553499894581489,0.6950757575757575,0.7944444444444444,0.7482900638261168,0.02904307021954078,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed50_lr0.001.pt
50,0.0005,33,0.8436234871307015,0.4858551621437073,0.8621108820886846,0.8957528957528957,0.7921245421245421,0.8512075841987052,0.7921245421245421,0.052865723836720856,0.7870707070707071,0.742602495543672,0.7871120107962213,0.7722617378035336,-0.018487394957983128,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed50_lr0.0005.pt
60,0.001,6,0.9125230802650157,0.46334537863731384,0.8173511430090378,0.8086241244135981,0.8187134502923975,0.8151417296154138,0.8086241244135981,0.0054743527987037915,0.7411030061892131,0.6896613190730837,0.7777777777777777,0.7361807010133582,0.09517193725597795,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed60_lr0.001.pt
60,0.0005,12,0.9133658008658009,0.4386458992958069,0.8152073732718894,0.8086241244135981,0.8306878306878307,0.8178765358391844,0.8086241244135981,0.011326891761736582,0.7371615312791784,0.6896613190730837,0.7871148459383753,0.7379792320968791,0.09815842759391147,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed60_lr0.0005.pt
70,0.001,9,0.8694513371932727,0.5084905624389648,0.7688109161793372,0.8135761179239439,0.7093681917211329,0.7644076593652579,0.7093681917211329,0.052275954736602466,0.685855923951162,0.6950757575757575,0.6606209150326797,0.6805175321865331,0.10064042101393555,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed70_lr0.001.pt
70,0.0005,39,0.9137862916573235,0.32526895403862,0.8384883315917798,0.8965975544922914,0.7290552584670231,0.8230911765245064,0.7290552584670231,0.08507124488435983,0.7595571095571095,0.7798319327731092,0.6857864357864357,0.7417251593722182,0.07529796006554368,5699,C:\Users\ADMIN\Desktop\ds-fall\outputs\models\final_compact_hybrid\LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed70_lr0.0005.pt
