pipeline,experiment_id,train_protocol,test_dataset,fall_source,feature_set,feature_count,fall_precision,fall_recall,fall_f1,fall_accuracy,AUROC,average_precision,TN,FP,FN,TP,threshold,threshold_note,A5_FP,FP_reduction_vs_A5,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,E2E_Direction_Macro_F1,E2E_Direction_Accuracy,coverage,deep_params,a5_fp32_kb,a5_int8_kb,fall_feature_count,direction_feature_count,fall_tree_count,fall_tree_nodes,fall_tree_leaves,direction_tree_count,direction_tree_nodes,direction_tree_leaves,total_tree_count,total_tree_nodes,estimated_complexity_units,edge_suitability,complexity_notes
Hybrid_NoTiming,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.2823529411764706,0.96,0.43636363636363634,0.6555555555555556,0.9065806451612903,0.6423071843214023,94,61,1,24,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak,44,-17,0.3876262626262626,0.4,0.3333333333333333,0.375,0.45454545454545453,25,0.3515151515151515,0.36,0.96,65959,257.65234375,64.4130859375,132,12,100,1408,754,0,0,0,100,1408,67367,medium,"GB fall expert plus A5 direction expert; best practical accuracy, moderate edge cost."
Hybrid_NoTiming,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.9166666666666666,0.6875,0.7857142857142857,0.9659090909090909,0.9384765625,0.8752666711597591,477,3,15,33,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak,5,2,0.6271469828241374,0.6666666666666666,0.7441860465116279,0.6666666666666666,0.47058823529411764,36,0.48690476190476195,0.4722222222222222,0.6944444444444444,65959,257.65234375,64.4130859375,132,12,100,1408,754,0,0,0,100,1408,67367,medium,"GB fall expert plus A5 direction expert; best practical accuracy, moderate edge cost."
Hybrid_NoTiming,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,1.0,0.8125,0.896551724137931,0.9829545454545454,0.9877387152777778,0.9554014080837365,480,0,9,39,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak,0,0,0.9350469350469351,0.9444444444444444,0.972972972972973,0.9230769230769231,0.9090909090909091,36,0.7798319327731092,0.75,0.8055555555555556,65959,257.65234375,64.4130859375,132,12,100,1408,754,0,0,0,100,1408,67367,medium,"GB fall expert plus A5 direction expert; best practical accuracy, moderate edge cost."
Hybrid_NoTiming,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.7666666666666667,0.92,0.8363636363636363,0.95,0.9816774193548388,0.9410734472049691,148,7,2,23,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak,21,14,0.8390350877192981,0.84,0.8421052631578947,0.875,0.8,25,0.7925925925925927,0.76,0.92,65959,257.65234375,64.4130859375,132,12,100,1408,754,0,0,0,100,1408,67367,medium,"GB fall expert plus A5 direction expert; best practical accuracy, moderate edge cost."
EdgeLite_Hybrid,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,RandomForest_FallNoTiming_Core,FallNoTiming_Core,16,0.7678571428571429,0.8958333333333334,0.8269230769230769,0.9659090909090909,0.9838324652777778,0.9326045939878762,467,13,5,43,0.3430962343096234,best_val_f1_then_precision_with_recall088_tiebreak,2,-11,0.8777348777348778,0.8888888888888888,0.918918918918919,0.8571428571428571,0.8571428571428571,36,0.8486772486772486,0.8055555555555556,0.8611111111111112,65959,257.65234375,64.4130859375,16,12,300,91018,45659,0,0,0,300,91018,156977,medium-high,Compact 16-feature RF fall expert; full pipeline still uses A5 for direction.
EdgeLite_Hybrid,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,RandomForest_FallNoTiming_Core,FallNoTiming_Core,16,0.8823529411764706,0.6,0.7142857142857143,0.9333333333333333,0.9788387096774194,0.8880823764561264,153,2,10,15,0.7405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,5,3,0.6071428571428571,0.64,0.75,0.5714285714285714,0.5,25,0.48279352226720645,0.44,0.6,65959,257.65234375,64.4130859375,16,12,300,91018,45659,0,0,0,300,91018,156977,medium-high,Compact 16-feature RF fall expert; full pipeline still uses A5 for direction.
EdgeLite_Hybrid,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,RandomForest_FallNoTiming_Core,FallNoTiming_Core,16,0.7777777777777778,0.863013698630137,0.8181818181818182,0.96045197740113,0.9729802610290151,0.8846585670563447,617,18,10,63,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,21,3,0.8966626725247414,0.9016393442622951,0.9285714285714286,0.896551724137931,0.8648648648648649,61,0.8070859538784068,0.7704918032786885,0.8688524590163934,65959,257.65234375,64.4130859375,16,12,300,91018,45659,0,0,0,300,91018,156977,medium-high,Compact 16-feature RF fall expert; full pipeline still uses A5 for direction.
EdgeLite_Hybrid,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,RandomForest_FallNoTiming_Core,FallNoTiming_Core,16,0.32051282051282054,1.0,0.4854368932038835,0.7055555555555556,0.9651612903225806,0.8412005702089221,102,53,0,25,0.3430962343096234,best_val_f1_then_precision_with_recall088_tiebreak,44,-9,0.3876262626262626,0.4,0.3333333333333333,0.375,0.45454545454545453,25,0.3876262626262626,0.4,1.0,65959,257.65234375,64.4130859375,16,12,300,91018,45659,0,0,0,300,91018,156977,medium-high,Compact 16-feature RF fall expert; full pipeline still uses A5 for direction.
EdgeLite_Hybrid,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,RandomForest_FallNoTiming_Core,FallNoTiming_Core,16,0.8461538461538461,0.4583333333333333,0.5945945945945946,0.9431818181818182,0.9546657986111112,0.7498937682226865,476,4,26,22,0.7405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,5,1,0.6271469828241374,0.6666666666666666,0.7441860465116279,0.6666666666666666,0.47058823529411764,36,0.2793650793650793,0.2777777777777778,0.4166666666666667,65959,257.65234375,64.4130859375,16,12,300,91018,45659,0,0,0,300,91018,156977,medium-high,Compact 16-feature RF fall expert; full pipeline still uses A5 for direction.
EdgeLite_Hybrid,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,RandomForest_FallNoTiming_Core,FallNoTiming_Core,16,0.8125,0.8125,0.8125,0.9659090909090909,0.9721788194444443,0.8839161685499426,471,9,9,39,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,0,-9,0.9350469350469351,0.9444444444444444,0.972972972972973,0.9230769230769231,0.9090909090909091,36,0.7798319327731092,0.75,0.8055555555555556,65959,257.65234375,64.4130859375,16,12,300,91018,45659,0,0,0,300,91018,156977,medium-high,Compact 16-feature RF fall expert; full pipeline still uses A5 for direction.
EdgeLite_Hybrid,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,RandomForest_FallNoTiming_Core,FallNoTiming_Core,16,0.7272727272727273,0.96,0.8275862068965517,0.9444444444444444,0.9828387096774194,0.9100470216917586,146,9,1,24,0.405857740585774,best_val_f1_then_precision_with_recall088_tiebreak,21,12,0.8390350877192981,0.84,0.8421052631578947,0.875,0.8,25,0.8140350877192982,0.8,0.96,65959,257.65234375,64.4130859375,16,12,300,91018,45659,0,0,0,300,91018,156977,medium-high,Compact 16-feature RF fall expert; full pipeline still uses A5 for direction.
ML_only_separated,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.9523809523809523,0.8333333333333334,0.8888888888888888,0.9810606060606061,0.9817708333333333,0.9517911254398667,478,2,8,40,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak,2,0,0.8659932659932661,0.8611111111111112,0.8888888888888888,0.9090909090909091,0.8,36,0.6671335200746965,0.7222222222222222,0.8055555555555556,0,0.0,0.0,132,132,100,1408,754,300,4404,2352,400,5812,5812,high,"Summary-only tree ensembles; no temporal deep model, CPU-friendly but less direction-consistent."
ML_only_separated,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.88,0.88,0.88,0.9666666666666667,0.9912258064516128,0.9626091204934958,152,3,3,22,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak,5,2,0.8421717171717172,0.84,0.8181818181818182,0.875,0.8333333333333334,25,0.7777777777777778,0.72,0.88,0,0.0,0.0,132,132,100,1408,754,300,4404,2352,400,5812,5812,high,"Summary-only tree ensembles; no temporal deep model, CPU-friendly but less direction-consistent."
ML_only_separated,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.8985507246376812,0.8493150684931506,0.8732394366197183,0.9745762711864406,0.9833567036997086,0.9355970977588354,628,7,11,62,0.48460387851025294,best_val_f1_then_precision_with_recall088_tiebreak,21,14,0.8577334139947571,0.8688524590163934,0.9122807017543859,0.8275862068965517,0.8333333333333334,61,0.7567295597484277,0.7213114754098361,0.8524590163934426,0,0.0,0.0,132,132,100,1408,754,300,4404,2352,400,5812,5812,high,"Summary-only tree ensembles; no temporal deep model, CPU-friendly but less direction-consistent."
ML_only_separated,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.2823529411764706,0.96,0.43636363636363634,0.6555555555555556,0.9065806451612903,0.6423071843214023,94,61,1,24,0.6235903918421675,best_val_f1_then_precision_with_recall088_tiebreak,44,-17,0.37868712702472296,0.4,0.5882352941176471,0.2,0.34782608695652173,25,0.3839572192513369,0.4,0.96,0,0.0,0.0,132,132,100,1408,754,300,4404,2352,400,5812,5812,high,"Summary-only tree ensembles; no temporal deep model, CPU-friendly but less direction-consistent."
ML_only_separated,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,GradientBoosting_FallNoTiming_Full,FallNoTiming_Full,132,0.9166666666666666,0.6875,0.7857142857142857,0.9659090909090909,0.9384765625,0.8752666711597591,477,3,15,33,0.7187731120959577,best_val_f1_then_precision_with_recall088_tiebreak,5,2,0.5740740740740741,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.5,36,0.5129385964912281,0.5277777777777778,0.6944444444444444,0,0.0,0.0,132,132,100,1408,754,300,4404,2352,400,5812,5812,high,"Summary-only tree ensembles; no temporal deep model, CPU-friendly but less direction-consistent."
