epoch,direction_output_accuracy,direction_output_loss,fall_output_accuracy,fall_output_loss,learning_rate,loss,val_direction_macro_f1,val_direction_output_accuracy,val_direction_output_loss,val_fall_f1,val_fall_output_accuracy,val_fall_output_loss,val_loss
15,0.35465744137763977,0.041895098984241486,0.9725524187088013,0.08358807861804962,0.0005000000237487257,0.14738985896110535,0.6603579656211235,0.4659217894077301,0.03354332596063614,0.8481675392670157,0.9675977826118469,0.21071206033229828,0.26081323623657227
16,0.36892154812812805,0.04127681627869606,0.9727685451507568,0.07997290790081024,0.0005000000237487257,0.14415083825588226,0.6984126984126983,0.4525139629840851,0.03197446092963219,0.8365384615384616,0.9620111584663391,0.1886511892080307,0.23653051257133484
17,0.4151718318462372,0.039813343435525894,0.9693105816841125,0.08372530341148376,0.0005000000237487257,0.14473500847816467,0.6949845679012346,0.46368715167045593,0.03156827762722969,0.8095238095238095,0.9553072452545166,0.20306049287319183,0.25005677342414856
18,0.3987464904785156,0.03701723366975784,0.9740652441978455,0.08906153589487076,0.0005000000237487257,0.14385060966014862,0.6743377289288416,0.46368715167045593,0.038238201290369034,0.8110599078341014,0.9541899561882019,0.1716930866241455,0.22884200513362885
19,0.40933650732040405,0.04237588867545128,0.9768748879432678,0.06961604207754135,0.0005000000237487257,0.13081227242946625,0.6279055594154143,0.2536312937736511,0.039037466049194336,0.822429906542056,0.9575418829917908,0.1859389841556549,0.24424141645431519
20,0.3408255875110626,0.03902177885174751,0.9807651042938232,0.06475923955440521,0.0005000000237487257,0.12405622005462646,0.6660526836997425,0.3173184394836426,0.042192332446575165,0.8127853881278538,0.9541899561882019,0.1887287050485611,0.2518450617790222
21,0.3468770384788513,0.03526999056339264,0.9766587615013123,0.07353629916906357,0.0005000000237487257,0.12736880779266357,0.6435800677310112,0.23575419187545776,0.03906995430588722,0.7733333333333333,0.943016767501831,0.23427918553352356,0.29262641072273254
22,0.34601253271102905,0.03512550890445709,0.9803328514099121,0.06860875338315964,0.0005000000237487257,0.11818777024745941,0.6510474601408972,0.2536312937736511,0.04992637410759926,0.7887323943661971,0.9497206807136536,0.2484917938709259,0.323093444108963
23,0.3384482264518738,0.036869559437036514,0.9786038398742676,0.05674934387207031,0.0005000000237487257,0.11234431713819504,0.6473784201970346,0.33519554138183594,0.03873920440673828,0.847457627118644,0.9698324203491211,0.41232019662857056,0.46948370337486267
24,0.4056624174118042,0.035897672176361084,0.984006941318512,0.05715281143784523,0.0005000000237487257,0.10965578258037567,0.6008528326226394,0.46927374601364136,0.03817669674754143,0.8235294117647058,0.9597765207290649,0.2799541652202606,0.3370802700519562
25,0.44629350304603577,0.030425284057855606,0.9846552610397339,0.05224994570016861,0.0002500000118743628,0.09083488583564758,0.6222544750846638,0.3988826870918274,0.041459403932094574,0.8324873096446701,0.9631285071372986,0.32029101252555847,0.3823093771934509
