run_id,eval,dataset,n,E3_Fall_Precision,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,fall_accuracy,fall_auroc,fall_average_precision,direction_macro_f1,direction_accuracy,direction_n_supervised,forward_f1,backward_f1,lateral_f1,end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,E7_WEDA_FP_reduction_vs_A5_reference,model_type,feature_set,fall_expert,number_features,threshold,threshold_note,upper_bound_timing,deep_fall_used_for_final,direction_source,estimated_params_or_nodes,number_trees,max_depth,edge_suitability,complexity_notes
HYB_HGB_Lite10,E7,weda,180.0,,148.0,7.0,6.0,19.0,0.7307692307692307,0.76,0.7450980392156863,0.9277777777777778,0.9700645161290322,0.8803159254126997,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.6524966261808367,0.76,0.6,14.0,hybrid_ml_fall_a5_direction,Lite10,HGB,10.0,0.7818619246861925,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
HYB_LR_Axis,E3,bits+weda,708.0,,615.0,20.0,17.0,56.0,0.7368421052631579,0.7671232876712328,0.7516778523489933,0.9477401129943502,0.9582785028583756,0.8233050993952588,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.7283615136876006,0.7868852459016393,0.6885245901639344,,hybrid_ml_fall_a5_direction,Axis,LR,10.0,0.8183068484866508,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,11.0,0.0,0.0,high,LR 11 weights plus scaler.
HYB_LR_Axis,E6,bits,528.0,,473.0,7.0,15.0,33.0,0.825,0.6875,0.75,0.9583333333333334,0.9674913194444444,0.8606081535450105,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.6103174603174603,0.6944444444444444,0.6388888888888888,,hybrid_ml_fall_a5_direction,Axis,LR,10.0,0.8183068484866508,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,11.0,0.0,0.0,high,LR 11 weights plus scaler.
HYB_LR_Axis,E7,weda,180.0,,142.0,13.0,2.0,23.0,0.6388888888888888,0.92,0.7540983606557377,0.9166666666666666,0.9576774193548387,0.7336592234265111,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.7854636591478696,0.92,0.76,8.0,hybrid_ml_fall_a5_direction,Axis,LR,10.0,0.8183068484866508,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,11.0,0.0,0.0,high,LR 11 weights plus scaler.
HYB_DT_Axis,E3,bits+weda,708.0,,580.0,55.0,9.0,64.0,0.5378151260504201,0.8767123287671232,0.6666666666666666,0.9096045197740112,0.9345378060619134,0.5192050889007388,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.8140740740740741,0.8852459016393442,0.7868852459016393,,hybrid_ml_fall_a5_direction,Axis,DT,10.0,0.5146150627615064,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,15.0,1.0,3.0,high,"DecisionTree depth=3, leaves=8."
HYB_DT_Axis,E6,bits,528.0,,455.0,25.0,9.0,39.0,0.609375,0.8125,0.6964285714285714,0.9356060606060606,0.9441406250000001,0.5745070784930577,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.7386243386243386,0.8055555555555556,0.75,,hybrid_ml_fall_a5_direction,Axis,DT,10.0,0.5146150627615064,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,15.0,1.0,3.0,high,"DecisionTree depth=3, leaves=8."
HYB_DT_Axis,E7,weda,180.0,,125.0,30.0,0.0,25.0,0.45454545454545453,1.0,0.625,0.8333333333333334,0.9032258064516129,0.45454545454545453,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.8390350877192981,1.0,0.84,-9.0,hybrid_ml_fall_a5_direction,Axis,DT,10.0,0.5146150627615064,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,15.0,1.0,3.0,high,"DecisionTree depth=3, leaves=8."
HYB_RF_Axis,E3,bits+weda,708.0,,596.0,39.0,11.0,62.0,0.6138613861386139,0.8493150684931506,0.7126436781609196,0.9293785310734464,0.9600690324668321,0.7959752631803155,0.8966626725247414,0.9016393442622951,61.0,0.9285714285714286,0.896551724137931,0.8648648648648649,0.7769726247987118,0.8524590163934426,0.7540983606557377,,hybrid_ml_fall_a5_direction,Axis,RF,10.0,0.6357112970711297,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,2464.0,50.0,5.0,medium,"RF 50 trees depth<=5, total nodes=2464."
HYB_RF_Axis,E6,bits,528.0,,465.0,15.0,10.0,38.0,0.7169811320754716,0.7916666666666666,0.7524752475247525,0.9526515151515151,0.9667534722222223,0.8284869550417603,0.9350469350469351,0.9444444444444444,36.0,0.972972972972973,0.9230769230769231,0.9090909090909091,0.6738095238095237,0.7777777777777778,0.7222222222222222,,hybrid_ml_fall_a5_direction,Axis,RF,10.0,0.6357112970711297,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,2464.0,50.0,5.0,medium,"RF 50 trees depth<=5, total nodes=2464."
HYB_RF_Axis,E7,weda,180.0,,131.0,24.0,1.0,24.0,0.5,0.96,0.6575342465753424,0.8611111111111112,0.9558709677419356,0.7504442513976304,0.8390350877192981,0.84,25.0,0.8421052631578947,0.875,0.8,0.8140350877192982,0.96,0.8,-3.0,hybrid_ml_fall_a5_direction,Axis,RF,10.0,0.6357112970711297,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,2464.0,50.0,5.0,medium,"RF 50 trees depth<=5, total nodes=2464."
