end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,end_to_end_forward_f1,end_to_end_backward_f1,end_to_end_lateral_f1,direction_n_supervised,run_id,eval,dataset,feature_set,fall_expert
0.8390350877192981,1.0,0.84,0.8421052631578947,0.875,0.8,25,HYB_DT_Axis,E7,weda,Axis,DT
0.7769726247987118,0.8524590163934426,0.7540983606557377,0.8888888888888888,0.6086956521739131,0.8333333333333334,61,HYB_RF_Axis,E3,bits+weda,Axis,RF
0.6738095238095237,0.7777777777777778,0.7222222222222222,0.9142857142857143,0.25,0.8571428571428571,36,HYB_RF_Axis,E6,bits,Axis,RF
0.8140350877192982,0.96,0.8,0.8421052631578947,0.8,0.8,25,HYB_RF_Axis,E7,weda,Axis,RF
0.6686557170428138,0.7049180327868853,0.6229508196721312,0.8846153846153846,0.47619047619047616,0.6451612903225806,61,HYB_GB_Axis,E3,bits+weda,Axis,GB
0.6103174603174603,0.6944444444444444,0.6388888888888888,0.9142857142857143,0.25,0.6666666666666666,36,HYB_GB_Axis,E6,bits,Axis,GB
0.6847662141779788,0.72,0.6,0.8235294117647058,0.6153846153846154,0.6153846153846154,25,HYB_GB_Axis,E7,weda,Axis,GB
0.7072811447811448,0.7704918032786885,0.6721311475409836,0.8888888888888888,0.5454545454545454,0.6875,61,HYB_HGB_Axis,E3,bits+weda,Axis,HGB
0.6337092731829573,0.7222222222222222,0.6666666666666666,0.9142857142857143,0.25,0.7368421052631579,36,HYB_HGB_Axis,E6,bits,Axis,HGB
0.7239251976094082,0.84,0.68,0.8421052631578947,0.7142857142857143,0.6153846153846154,25,HYB_HGB_Axis,E7,weda,Axis,HGB
0.7042735042735043,0.7377049180327869,0.639344262295082,0.8461538461538461,0.6666666666666666,0.6,61,HYB_LR_FullNoTiming,E3,bits+weda,FullNoTiming,LR
0.726984126984127,0.75,0.6944444444444444,0.9142857142857143,0.6,0.6666666666666666,36,HYB_LR_FullNoTiming,E6,bits,FullNoTiming,LR
0.6400560224089636,0.72,0.56,0.7058823529411765,0.7142857142857143,0.5,25,HYB_LR_FullNoTiming,E7,weda,FullNoTiming,LR
0.8070859538784068,0.8688524590163934,0.7704918032786885,0.8679245283018868,0.72,0.8333333333333334,61,HYB_RF_FullNoTiming,E3,bits+weda,FullNoTiming,RF
0.7279800809212573,0.7777777777777778,0.7222222222222222,0.8823529411764706,0.4444444444444444,0.8571428571428571,36,HYB_RF_FullNoTiming,E6,bits,FullNoTiming,RF
0.8390350877192981,1.0,0.84,0.8421052631578947,0.875,0.8,25,HYB_RF_FullNoTiming,E7,weda,FullNoTiming,RF
0.7998290598290598,0.8524590163934426,0.7540983606557377,0.8461538461538461,0.72,0.8333333333333334,61,HYB_GB_FullNoTiming,E3,bits+weda,FullNoTiming,GB
0.7798319327731092,0.8055555555555556,0.75,0.8823529411764706,0.6,0.8571428571428571,36,HYB_GB_FullNoTiming,E6,bits,FullNoTiming,GB
0.7925925925925927,0.92,0.76,0.7777777777777778,0.8,0.8,25,HYB_GB_FullNoTiming,E7,weda,FullNoTiming,GB
0.8456790123456791,0.9180327868852459,0.819672131147541,0.8888888888888888,0.8148148148148148,0.8333333333333334,61,HYB_HGB_FullNoTiming,E3,bits+weda,FullNoTiming,HGB
0.8682539682539683,0.8888888888888888,0.8333333333333334,0.9142857142857143,0.8333333333333334,0.8571428571428571,36,HYB_HGB_FullNoTiming,E6,bits,FullNoTiming,HGB
0.8140350877192982,0.96,0.8,0.8421052631578947,0.8,0.8,25,HYB_HGB_FullNoTiming,E7,weda,FullNoTiming,HGB
0.8597883597883599,0.9344262295081968,0.8360655737704918,0.8888888888888888,0.8571428571428571,0.8333333333333334,61,HYB_RF_FullTiming,E3,bits+weda,FullTiming,RF
0.8682539682539683,0.8888888888888888,0.8333333333333334,0.9142857142857143,0.8333333333333334,0.8571428571428571,36,HYB_RF_FullTiming,E6,bits,FullTiming,RF
0.8390350877192981,1.0,0.84,0.8421052631578947,0.875,0.8,25,HYB_RF_FullTiming,E7,weda,FullTiming,RF
0.8524130190796857,0.9344262295081968,0.8360655737704918,0.9090909090909091,0.8148148148148148,0.8333333333333334,61,HYB_GB_FullTiming,E3,bits+weda,FullTiming,GB
0.842953342953343,0.8888888888888888,0.8333333333333334,0.9444444444444444,0.7272727272727273,0.8571428571428571,36,HYB_GB_FullTiming,E6,bits,FullTiming,GB
0.8390350877192981,1.0,0.84,0.8421052631578947,0.875,0.8,25,HYB_GB_FullTiming,E7,weda,FullTiming,GB
0.8770328770328769,0.9672131147540983,0.8688524590163934,0.9090909090909091,0.8571428571428571,0.8648648648648649,61,HYB_HGB_FullTiming,E3,bits+weda,FullTiming,HGB
0.8956228956228957,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9090909090909091,36,HYB_HGB_FullTiming,E6,bits,FullTiming,HGB
0.8390350877192981,1.0,0.84,0.8421052631578947,0.875,0.8,25,HYB_HGB_FullTiming,E7,weda,FullTiming,HGB
