run_id,experiment_id,train_protocol,model_name,seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,historical_A5_reference_macro_f1,delta_vs_historical_A5,params,estimated_fp32_kb,estimated_int8_kb,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,params_reduction_vs_A5_Direction_Only,params_reduction_vs_historical_A5,edge_suitability,tflite_convert,int8_tflite_convert,macs_estimate,complexity_note
A5_Direction_Only_E1_BITS_TO_BITS_seed43_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,43,0.0005,12,0.8927738927738927,0.4159986674785614,0.9314285714285714,0.9166666666666666,0.9142857142857143,1.0,0.88,36,,,57268,223.703125,55.92578125,16,0,2,0,6,0,1,0,11,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed43_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,43,0.0005,14,0.8004357298474946,0.7407917976379395,0.5148148148148147,0.52,0.6,0.4444444444444444,0.5,25,,,57268,223.703125,55.92578125,6,3,0,3,4,2,2,2,3,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed43_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_Direction_Only,43,0.0005,15,0.8709783430280326,0.5168944001197815,0.8338182584861903,0.8360655737704918,0.8627450980392157,0.8387096774193549,0.8,61,0.8967,-0.06288174151380976,57268,223.703125,55.92578125,22,2,3,0,13,2,2,1,16,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed43_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_Direction_Only,43,0.0005,15,0.8709783430280326,0.5168944001197815,0.8492063492063492,0.8611111111111112,0.9142857142857143,0.8333333333333334,0.8,36,0.935,-0.08579365079365087,57268,223.703125,55.92578125,16,0,2,0,5,1,1,1,10,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed43_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_Direction_Only,43,0.0005,15,0.8709783430280326,0.5168944001197815,0.7973684210526315,0.8,0.75,0.8421052631578947,0.8,25,0.839,-0.041631578947368464,57268,223.703125,55.92578125,6,2,1,0,8,1,1,0,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed43_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,43,0.0005,12,0.8927738927738927,0.4159986674785614,0.19555555555555557,0.24,0.26666666666666666,0.0,0.32,25,,,57268,223.703125,55.92578125,2,0,7,2,0,7,2,1,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed43_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,43,0.0005,14,0.8004357298474946,0.7407917976379395,0.62010582010582,0.6944444444444444,0.8888888888888888,0.4,0.5714285714285714,36,,,57268,223.703125,55.92578125,16,1,1,1,3,2,1,5,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E1_BITS_TO_BITS_seed44_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,44,0.001,6,0.8709639126305793,0.3519497215747833,0.9111784511784511,0.9166666666666666,0.9444444444444444,0.9090909090909091,0.88,36,,,57268,223.703125,55.92578125,17,0,1,0,5,1,1,0,11,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed44_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,44,0.001,6,0.8766884531590414,0.5113512277603149,0.7851851851851852,0.8,0.8,0.8888888888888888,0.6666666666666666,25,,,57268,223.703125,55.92578125,8,0,1,1,8,0,2,1,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed44_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_Direction_Only,44,0.001,4,0.8362260374644276,0.5349994897842407,0.6745548794230336,0.7049180327868853,0.8275862068965517,0.6666666666666666,0.5294117647058824,61,0.8967,-0.22214512057696645,57268,223.703125,55.92578125,24,0,3,2,10,3,5,5,9,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed44_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_Direction_Only,44,0.001,4,0.8362260374644276,0.5349994897842407,0.8354497354497354,0.8611111111111112,0.9444444444444444,0.8,0.7619047619047619,36,0.935,-0.09955026455026461,57268,223.703125,55.92578125,17,0,1,0,6,0,1,3,8,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed44_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_Direction_Only,44,0.001,4,0.8362260374644276,0.5349994897842407,0.44118104118104123,0.48,0.6363636363636364,0.5333333333333333,0.15384615384615385,25,0.839,-0.39781895881895873,57268,223.703125,55.92578125,7,0,2,2,4,3,4,2,1,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed44_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,44,0.001,6,0.8709639126305793,0.3519497215747833,0.2767676767676768,0.36,0.36363636363636365,0.0,0.4666666666666667,25,,,57268,223.703125,55.92578125,2,0,7,0,0,9,0,0,7,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed44_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,44,0.001,6,0.8766884531590414,0.5113512277603149,0.7267917267917268,0.7222222222222222,0.7777777777777778,0.8571428571428571,0.5454545454545454,36,,,57268,223.703125,55.92578125,14,0,4,0,6,0,4,2,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E1_BITS_TO_BITS_seed44_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,44,0.0005,11,0.8684766214177979,0.4081360697746277,0.9111784511784511,0.9166666666666666,0.9444444444444444,0.9090909090909091,0.88,36,,,57268,223.703125,55.92578125,17,0,1,0,5,1,1,0,11,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed44_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,44,0.0005,14,0.8684960263907632,0.3741755485534668,0.722004357298475,0.72,0.5882352941176471,0.7777777777777778,0.8,25,,,57268,223.703125,55.92578125,5,2,2,2,7,0,1,0,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed44_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_Direction_Only,44,0.0005,22,0.8115384615384617,0.8052287697792053,0.7453203916669336,0.7540983606557377,0.8301886792452831,0.7741935483870968,0.631578947368421,61,0.8967,-0.1513796083330664,57268,223.703125,55.92578125,22,1,4,0,12,3,4,3,12,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed44_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_Direction_Only,44,0.0005,22,0.8115384615384617,0.8052287697792053,0.8240740740740741,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.75,36,0.935,-0.11092592592592598,57268,223.703125,55.92578125,16,0,2,0,5,1,2,1,9,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed44_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_Direction_Only,44,0.0005,22,0.8115384615384617,0.8052287697792053,0.623765295591921,0.64,0.7058823529411765,0.7368421052631579,0.42857142857142855,25,0.839,-0.21523470440807901,57268,223.703125,55.92578125,6,1,2,0,7,2,2,2,3,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed44_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,44,0.0005,11,0.8684766214177979,0.4081360697746277,0.35909822866344604,0.44,0.5555555555555556,0.0,0.5217391304347826,25,,,57268,223.703125,55.92578125,5,0,4,3,0,6,1,0,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed44_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,44,0.0005,14,0.8684960263907632,0.3741755485534668,0.7063279857397505,0.7222222222222222,0.8235294117647058,0.75,0.5454545454545454,36,,,57268,223.703125,55.92578125,14,0,4,0,6,0,2,4,6,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E1_BITS_TO_BITS_seed45_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,45,0.001,16,0.9095022624434389,0.340000182390213,0.8877665544332212,0.8611111111111112,0.8484848484848485,1.0,0.8148148148148148,36,,,57268,223.703125,55.92578125,14,0,4,0,6,0,1,0,11,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed45_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,45,0.001,17,0.9191176470588235,0.2753315269947052,0.8288770053475935,0.84,0.8181818181818182,0.9411764705882353,0.7272727272727273,25,,,57268,223.703125,55.92578125,9,0,0,1,8,0,3,0,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,A5_Direction_Only,45,0.001,13,0.8495798229597121,0.48101580142974854,0.7419103313840156,0.7704918032786885,0.8888888888888888,0.7368421052631579,0.6,61,0.8967,-0.15478966861598442,57268,223.703125,55.92578125,24,1,2,1,14,0,2,8,9,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,A5_Direction_Only,45,0.001,13,0.8495798229597121,0.48101580142974854,0.7851851851851852,0.8055555555555556,0.8888888888888888,0.8,0.6666666666666666,36,0.935,-0.14981481481481485,57268,223.703125,55.92578125,16,0,2,0,6,0,2,3,7,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E3_BITS_WEDA_MIXED_seed45_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,A5_Direction_Only,45,0.001,13,0.8495798229597121,0.48101580142974854,0.6763285024154589,0.72,0.8888888888888888,0.6956521739130435,0.4444444444444444,25,0.839,-0.16267149758454102,57268,223.703125,55.92578125,8,1,0,1,8,0,0,5,2,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E4_BITS_TO_WEDA_seed45_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,A5_Direction_Only,45,0.001,16,0.9095022624434389,0.340000182390213,0.501010101010101,0.56,0.6666666666666666,0.2,0.6363636363636364,25,,,57268,223.703125,55.92578125,6,0,3,3,1,5,0,0,7,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E5_WEDA_TO_BITS_seed45_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,A5_Direction_Only,45,0.001,17,0.9191176470588235,0.2753315269947052,0.6130604288499025,0.6944444444444444,0.8947368421052632,0.5,0.4444444444444444,36,,,57268,223.703125,55.92578125,17,0,1,1,4,1,2,6,4,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E1_BITS_TO_BITS_seed45_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,A5_Direction_Only,45,0.0005,12,0.8513457556935817,0.4059147536754608,0.8684766214177979,0.8611111111111112,0.8823529411764706,0.9230769230769231,0.8,36,,,57268,223.703125,55.92578125,15,0,3,0,6,0,1,1,10,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only_E2_WEDA_TO_WEDA_seed45_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,A5_Direction_Only,45,0.0005,32,1.0,0.05922723934054375,0.8742690058479532,0.88,0.8421052631578947,0.9473684210526315,0.8333333333333334,25,,,57268,223.703125,55.92578125,8,1,0,0,9,0,2,0,5,,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
