model_name,protocol_id,seed,learning_rate,best_val_macro_f1,best_val_loss,architecture_note,params,estimated_fp32_kb,estimated_int8_kb,params_reduction_vs_A5_Direction_Only,params_reduction_vs_historical_A5,edge_suitability,tflite_convert,int8_tflite_convert,macs_estimate,complexity_note
A5_Direction_Only,E4_BITS_TO_WEDA,44,0.0005,0.8684766214177979,0.4081360697746277,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E5_WEDA_TO_BITS,44,0.0005,0.8684960263907632,0.3741755485534668,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E1_BITS_TO_BITS,45,0.001,0.9095022624434389,0.340000182390213,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E2_WEDA_TO_WEDA,45,0.001,0.9191176470588235,0.2753315269947052,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E3_BITS_WEDA_MIXED,45,0.001,0.8495798229597121,0.48101580142974854,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E4_BITS_TO_WEDA,45,0.001,0.9095022624434389,0.340000182390213,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E5_WEDA_TO_BITS,45,0.001,0.9191176470588235,0.2753315269947052,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E1_BITS_TO_BITS,45,0.0005,0.8513457556935817,0.4059147536754608,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E2_WEDA_TO_WEDA,45,0.0005,1.0,0.05922723934054375,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
A5_Direction_Only,E3_BITS_WEDA_MIXED,45,0.0005,0.8594288290028654,0.5992542505264282,"PyTorch direction-only equivalent of DS-Fall-RD A5: dual-stream acc/gyro, fusion 1x1, DS-TCN dilation 1/2/4, direction gated attention, direction dense head; fall branch removed.",57268,223.703125,55.92578125,0.0,0.1317636713716096,medium,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,,A5_Direction_Only; PyTorch implementation; TensorFlow available=False
