pipeline,experiment_id,train_protocol,source,E2E_Direction_Macro_F1,coverage,correct_rate,forward_f1,backward_f1,lateral_f1,direction_n_supervised,fall_branch
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed43_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.518954248366013,0.6944444444444444,0.5277777777777778,0.8235294117647058,0.3333333333333333,0.4,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed44_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.6300653594771242,0.8055555555555556,0.6388888888888888,0.8235294117647058,0.4,0.6666666666666666,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed44_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.8586182336182336,0.88,0.8,0.7777777777777778,0.875,0.9230769230769231,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.703448275862069,0.8524590163934426,0.6721311475409836,0.8,0.6896551724137931,0.6206896551724138,61,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.651702786377709,0.8055555555555556,0.6388888888888888,0.8235294117647058,0.5,0.631578947368421,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.7284780578898226,0.92,0.72,0.7619047619047619,0.8235294117647058,0.6,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E4_BITS_TO_WEDA_seed44_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.2673202614379085,0.96,0.28,0.4,0.16666666666666666,0.23529411764705882,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed44_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.4980392156862745,0.6944444444444444,0.5277777777777778,0.8235294117647058,0.2,0.47058823529411764,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed44_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.6523809523809524,0.8055555555555556,0.6666666666666666,0.8571428571428571,0.4,0.7,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed44_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.8586182336182336,0.88,0.8,0.7777777777777778,0.875,0.9230769230769231,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.7559705363626933,0.8524590163934426,0.7049180327868853,0.7843137254901961,0.7407407407407407,0.7428571428571429,61,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.6666666666666666,0.8055555555555556,0.6388888888888888,0.7878787878787878,0.5454545454545454,0.6666666666666666,36,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.8366402116402116,0.92,0.8,0.7777777777777778,0.875,0.8571428571428571,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E4_BITS_TO_WEDA_seed44_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.17948717948717952,0.96,0.24,0.38461538461538464,0.0,0.15384615384615385,25,GradientBoosting_FallNoTiming_Full_132
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed44_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.5374579124579125,0.6944444444444444,0.5555555555555556,0.875,0.18181818181818182,0.5555555555555556,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E1_BITS_TO_BITS_seed42_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.5286195286195287,0.8055555555555556,0.5555555555555556,0.7777777777777778,0.36363636363636365,0.4444444444444444,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E2_WEDA_TO_WEDA_seed42_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.35104669887278583,0.88,0.36,0.0,0.6086956521739131,0.4444444444444444,25,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed42_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.48848484848484847,0.8524590163934426,0.45901639344262296,0.52,0.5454545454545454,0.4,61,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed42_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.5837789661319074,0.8055555555555556,0.5555555555555556,0.7058823529411765,0.5454545454545454,0.5,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed42_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.2901515151515151,0.92,0.32,0.125,0.5454545454545454,0.2,25,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E4_BITS_TO_WEDA_seed42_lr0.001,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.23498288204170556,0.96,0.24,0.11764705882352941,0.4444444444444444,0.14285714285714285,25,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E5_WEDA_TO_BITS_seed42_lr0.001,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.39711399711399714,0.6944444444444444,0.4444444444444444,0.7428571428571429,0.18181818181818182,0.26666666666666666,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E1_BITS_TO_BITS_seed42_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.5887887887887888,0.8055555555555556,0.6111111111111112,0.8108108108108109,0.4,0.5555555555555556,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E2_WEDA_TO_WEDA_seed42_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.35104669887278583,0.88,0.36,0.0,0.6086956521739131,0.4444444444444444,25,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.5265873015873016,0.8524590163934426,0.4918032786885246,0.5416666666666666,0.5714285714285714,0.4666666666666667,61,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.6147186147186147,0.8055555555555556,0.5833333333333334,0.7272727272727273,0.5454545454545454,0.5714285714285714,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed42_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.31296296296296294,0.92,0.36,0.13333333333333333,0.5833333333333334,0.2222222222222222,25,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E4_BITS_TO_WEDA_seed42_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.21176470588235297,0.96,0.2,0.11764705882352941,0.4,0.11764705882352941,25,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E5_WEDA_TO_BITS_seed42_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.4148148148148148,0.6944444444444444,0.4722222222222222,0.7777777777777778,0.2,0.26666666666666666,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E1_BITS_TO_BITS_seed43_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,fixed_GB_FallNoTiming_Full_132,0.6689814814814815,0.8055555555555556,0.6666666666666666,0.8125,0.4444444444444444,0.75,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E2_WEDA_TO_WEDA_seed43_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,fixed_GB_FallNoTiming_Full_132,0.6257002801120448,0.88,0.6,0.42857142857142855,0.625,0.8235294117647058,25,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed43_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.5732775786539227,0.8524590163934426,0.5573770491803278,0.7037037037037037,0.5,0.5161290322580645,61,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed43_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.6036036036036037,0.8055555555555556,0.6111111111111112,0.8108108108108109,0.5,0.5,36,GradientBoosting_FallNoTiming_Full_132
LDX2_D1_Wide_Attention_E3_BITS_WEDA_MIXED_seed43_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,fixed_GB_FallNoTiming_Full_132,0.5013071895424837,0.92,0.48,0.47058823529411764,0.5,0.5333333333333333,25,GradientBoosting_FallNoTiming_Full_132
