run_id,experiment_id,train_protocol,model_name,seed,learning_rate,best_epoch,best_val_macro_f1,best_val_loss,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,A5_direction_macro_f1,D1_tiny_direction_macro_f1,D2_micro_tcn_direction_macro_f1,delta_vs_A5,delta_vs_D1,delta_vs_D2,params,estimated_fp32_kb,estimated_int8_kb,distill_temperature,distill_alpha,teacher_note,cm_00,cm_01,cm_02,cm_10,cm_11,cm_12,cm_20,cm_21,cm_22,macs_estimate,tflite_convert,int8_tflite_convert,edge_suitability,complexity_note
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed43_lr0.0005,E1_BITS_TO_BITS,E1_BITS_TO_BITS,LDX1_D1_Wide_DSConv,43,0.0005,6,0.8412617220801364,0.9288222789764404,0.8244348244348245,0.8333333333333334,0.8888888888888888,0.8571428571428571,0.7272727272727273,36,0.8777348777348778,0.8322981366459627,0.8659932659932661,-0.053300053300053274,-0.00786331221113823,-0.04155844155844157,5699,22.26171875,5.5654296875,,,,16,0,2,0,6,0,2,2,8,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed43_lr0.0005,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,LDX1_D1_Wide_DSConv,43,0.0005,22,0.9581699346405229,0.3224090039730072,0.8288770053475935,0.84,0.8181818181818182,0.9411764705882353,0.7272727272727273,25,0.6071428571428571,0.8773809523809524,0.6004357298474946,0.22173414820473636,-0.04850394703335892,0.22844127550009885,5699,22.26171875,5.5654296875,,,,9,0,0,1,8,0,3,0,4,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed43_lr0.0005,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,43,0.0005,16,0.8914640914640914,0.4659833610057831,0.8439325419257585,0.8524590163934426,0.8852459016393442,0.896551724137931,0.75,61,0.8966626725247414,0.8196649029982362,0.802435064935065,-0.052730130598982905,0.02426763892752226,0.041497476990693505,5699,22.26171875,5.5654296875,,,,27,0,0,1,13,1,6,1,12,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed43_lr0.0005,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,43,0.0005,16,0.8914640914640914,0.4659833610057831,0.8111111111111112,0.8333333333333334,0.9,0.8333333333333334,0.7,36,0.9350469350469351,0.7830568124685771,0.8320946364424625,-0.12393582393582392,0.02805429864253417,-0.020983525331351283,5699,22.26171875,5.5654296875,,,,18,0,0,0,5,1,4,1,7,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed43_lr0.0005,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,43,0.0005,16,0.8914640914640914,0.4659833610057831,0.8772175536881419,0.88,0.8571428571428571,0.9411764705882353,0.8333333333333334,25,0.8390350877192981,0.8846903583745688,0.7930283224400871,0.03818246596884378,-0.007472804686426859,0.08418923124805477,5699,22.26171875,5.5654296875,,,,9,0,0,1,8,0,2,0,5,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E4_BITS_TO_WEDA_seed43_lr0.0005,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,LDX1_D1_Wide_DSConv,43,0.0005,6,0.8412617220801364,0.9288222789764404,0.40452140452140456,0.44,0.5555555555555556,0.18181818181818182,0.47619047619047616,25,0.3876262626262626,0.1777777777777777,0.3668261562998405,0.016895141895141963,0.22674362674362686,0.03769524822156406,5699,22.26171875,5.5654296875,,,,5,0,4,3,1,5,1,1,5,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E5_WEDA_TO_BITS_seed43_lr0.0005,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,LDX1_D1_Wide_DSConv,43,0.0005,22,0.9581699346405229,0.3224090039730072,0.6412698412698412,0.7222222222222222,0.8571428571428571,0.6666666666666666,0.4,36,0.6271469828241374,0.6770334928229665,0.6596491228070175,0.014122858445703823,-0.03576365155312533,-0.018379281537176273,5699,22.26171875,5.5654296875,,,,18,0,0,1,5,0,5,4,3,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E1_BITS_TO_BITS_seed44_lr0.001,E1_BITS_TO_BITS,E1_BITS_TO_BITS,LDX1_D1_Wide_DSConv,44,0.001,19,0.8250000000000001,0.42251822352409363,0.7756132756132756,0.7777777777777778,0.8333333333333334,0.8571428571428571,0.6363636363636364,36,0.8777348777348778,0.8322981366459627,0.8659932659932661,-0.10212160212160215,-0.056684861032687106,-0.09037999037999045,5699,22.26171875,5.5654296875,,,,15,0,3,0,6,0,3,2,7,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E2_WEDA_TO_WEDA_seed44_lr0.001,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,LDX1_D1_Wide_DSConv,44,0.001,14,0.8379629629629629,0.41684025526046753,0.9214177978883861,0.92,0.9,0.9411764705882353,0.9230769230769231,25,0.6071428571428571,0.8773809523809524,0.6004357298474946,0.314274940745529,0.0440368455074337,0.32098206804089147,5699,22.26171875,5.5654296875,,,,9,0,0,1,8,0,1,0,6,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.001,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,44,0.001,8,0.8464773572134003,0.5116893649101257,0.7786137234413096,0.8032786885245902,0.8666666666666667,0.8484848484848485,0.6206896551724138,61,0.8966626725247414,0.8196649029982362,0.802435064935065,-0.11804894908343178,-0.04105117955692661,-0.023821341493755366,5699,22.26171875,5.5654296875,,,,26,0,1,1,14,0,6,4,9,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.001,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,44,0.001,8,0.8464773572134003,0.5116893649101257,0.7754385964912279,0.8055555555555556,0.8947368421052632,0.8,0.631578947368421,36,0.9350469350469351,0.7830568124685771,0.8320946364424625,-0.15960833855570722,-0.00761821597734913,-0.05665603995123458,5699,22.26171875,5.5654296875,,,,17,0,1,0,6,0,3,3,6,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
LDX1_D1_Wide_DSConv_E3_BITS_WEDA_MIXED_seed44_lr0.001,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,LDX1_D1_Wide_DSConv,44,0.001,8,0.8464773572134003,0.5116893649101257,0.769023569023569,0.8,0.8181818181818182,0.8888888888888888,0.6,25,0.8390350877192981,0.8846903583745688,0.7930283224400871,-0.07001151869572908,-0.11566678935099972,-0.024004753416518088,5699,22.26171875,5.5654296875,,,,9,0,0,1,8,0,3,1,3,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX1_D1_Wide_DSConv; PyTorch implementation; TensorFlow available=False
