model_name,protocol_id,seed,learning_rate,params,best_val_macro_f1,teacher_note,estimated_fp32_kb,estimated_int8_kb,macs_estimate,tflite_convert,int8_tflite_convert,edge_suitability,complexity_note
LDX2_D1_Wide_Attention,E3_BITS_WEDA_MIXED,44,0.001,5748,0.7348447018875461,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E4_BITS_TO_WEDA,44,0.001,5748,0.8138998682476943,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E5_WEDA_TO_BITS,44,0.001,5748,0.8614718614718614,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E1_BITS_TO_BITS,44,0.0005,5748,0.7983333333333333,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E2_WEDA_TO_WEDA,44,0.0005,5748,0.8614718614718614,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E3_BITS_WEDA_MIXED,44,0.0005,5748,0.7504713423831072,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E4_BITS_TO_WEDA,44,0.0005,5748,0.7983333333333333,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX2_D1_Wide_Attention,E5_WEDA_TO_BITS,44,0.0005,5748,0.8614718614718614,,22.453125,5.61328125,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,high,LDX2_D1_Wide_Attention; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E1_BITS_TO_BITS,42,0.001,19648,0.8857142857142857,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E2_WEDA_TO_WEDA,42,0.001,19648,0.6825396825396824,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E3_BITS_WEDA_MIXED,42,0.001,19648,0.8535413396546753,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E4_BITS_TO_WEDA,42,0.001,19648,0.8857142857142857,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E5_WEDA_TO_BITS,42,0.001,19648,0.6825396825396824,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E1_BITS_TO_BITS,42,0.0005,19648,0.8280701754385965,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E2_WEDA_TO_WEDA,42,0.0005,19648,0.8374727668845315,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E3_BITS_WEDA_MIXED,42,0.0005,19648,0.9164341831008498,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E4_BITS_TO_WEDA,42,0.0005,19648,0.8280701754385965,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E5_WEDA_TO_BITS,42,0.0005,19648,0.8374727668845315,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E1_BITS_TO_BITS,43,0.001,19648,0.8364527629233511,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E2_WEDA_TO_WEDA,43,0.001,19648,0.6352941176470588,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E3_BITS_WEDA_MIXED,43,0.001,19648,0.8295522860306913,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
LDX3_A5_Direction_Small_075,E4_BITS_TO_WEDA,43,0.001,19648,0.8364527629233511,,76.75,19.1875,,not_available_tensorflow_import_failed,not_available_tensorflow_import_failed,medium-high,LDX3_A5_Direction_Small_075; PyTorch implementation; TensorFlow available=False
