model_name,seed,learning_rate,params,avg_direction_macro_f1,e3_direction_macro_f1,e6_direction_macro_f1,e7_direction_macro_f1,avg_delta_vs_a5,avg_delta_vs_d1,avg_delta_vs_d2,passes_main_replacement,passes_edge_ablation
LDX4_D1_Wide_Attention_Distill_T3_A050,43,0.001,5748,0.648889921189705,0.684932086041964,0.8172932330827067,0.4444444444444444,-0.24135831057395318,-0.1802474367574223,-0.16029608674949983,False,False
LDX4_D1_Wide_Attention_Distill_T2_A050,44,0.001,5748,0.614298981503284,0.6270269650817663,0.774475643916103,0.44139433551198265,-0.27594925026037426,-0.21483837644384338,-0.1948870264359209,False,False
LDX4_D1_Wide_Attention_Distill_T2_A070,43,0.0005,5748,0.6028155808643614,0.6322140322140323,0.7260162601626017,0.45021645021645024,-0.2874326508992968,-0.226321777082766,-0.20637042707484352,False,False
LDX4_D1_Wide_Attention_Distill_T3_A050,42,0.001,5748,0.5948654767931326,0.6436564736499675,0.8172932330827067,0.32364672364672364,-0.29538275497052563,-0.23427188115399475,-0.21432053114607227,False,False
LDX4_D1_Wide_Attention_Distill_T2_A070,44,0.0005,5748,0.5897150717455154,0.6124069643806486,0.6857142857142856,0.4710239651416122,-0.30053316001814273,-0.2394222862016119,-0.21947093619368943,False,False
LDX4_D1_Wide_Attention_Distill_T2_A050,42,0.001,5748,0.5847190155523488,0.6319444444444444,0.8244348244348245,0.29777777777777775,-0.3055292162113093,-0.24441834239477844,-0.224466992386856,False,False
LDX4_D1_Wide_Attention_Distill_T2_A070,42,0.001,5748,0.5772484049198052,0.6206983805668016,0.8033126293995858,0.3077342047930283,-0.31299982684385297,-0.2518889530273221,-0.23193760301939967,False,False
LDX4_D1_Wide_Attention_Distill_T2_A050,42,0.0005,5748,0.5752788840466607,0.6036887089518669,0.7189997950399672,0.4031481481481481,-0.31496934771699747,-0.2538584739004666,-0.23390712389254417,False,False
LDX4_D1_Wide_Attention_Distill_T2_A070,42,0.0005,5748,0.5752788840466607,0.6036887089518669,0.7189997950399672,0.4031481481481481,-0.31496934771699747,-0.2538584739004666,-0.23390712389254417,False,False
LDX4_D1_Wide_Attention_Distill_T3_A050,44,0.0005,5748,0.572005772005772,0.6017316017316017,0.6857142857142856,0.42857142857142855,-0.3182424597578863,-0.25713158594135543,-0.23718023593343296,False,False
LDX2_D1_Wide_Attention,42,0.0005,5748,0.5712622233811354,0.6145266708834071,0.7756132756132756,0.32364672364672364,-0.3189860083825228,-0.2578751345659919,-0.23792378455806942,False,False
LDX4_D1_Wide_Attention_Distill_T3_A050,44,0.001,5748,0.5690336568048321,0.5972531671456403,0.7424501424501425,0.36739766081871345,-0.32121457495882616,-0.2601037011422953,-0.24015235113437283,False,False
