acc_mag_peak,gyro_mag_peak
43.158546,12.14084
42.887062,12.14084
41.011463,9.867624
14.203521,5.415718
29.02654,4.172529
32.420055,3.8327534
39.43222,5.2583265
40.040226,5.2583265
37.66338,9.022749
56.271572,10.975428
56.271572,10.975428
50.105988,10.945775
43.34536,10.823123
38.754745,8.346256
48.175617,10.208329
48.175617,10.208329
47.366867,9.140022
52.441776,8.468176
49.266922,16.31962
43.45998,6.7007465
43.45998,6.738694
39.21607,7.068946
41.49229,7.068946
20.837706,6.6098413
34.089584,4.384062
40.509506,5.409251
40.509506,5.409251
39.97049,6.309517
18.813026,7.300685
18.877499,2.4020824
18.877499,2.7820857
14.444722,4.350862
14.444722,7.262231
28.148712,8.759566
28.148712,8.759566
19.360527,2.918904
19.360527,1.7378147
19.002632,2.1400933
17.45222,8.021222
15.116878,2.3853722
15.780367,3.386739
16.863274,4.422669
16.863274,4.422669
14.895301,4.253234
14.895301,4.0828915
14.816882,4.0828915
14.816882,3.8183765
15.57498,4.388622
14.191195,6.3142695
14.191195,5.9219933
13.027278,2.3345237
16.335545,3.6373067
18.391302,4.944694
17.687283,6.1717095
17.07425,4.419276
17.07425,4.419276
16.043379,3.9572718
16.043379,3.879433
14.291956,4.323193
14.291956,2.0493903
14.164039,1.9
14.806079,1.9416487
14.806079,1.9467922
17.611927,8.809654
17.056377,3.4292855
18.559633,3.4292855
18.559633,5.984981
17.545368,5.984981
16.808628,6.2201285
16.808628,3.0430248
16.634302,6.185467
16.609936,6.185467
15.371077,5.189412
14.8946295,5.8189344
14.8946295,3.7429938
14.297203,1.1357816
14.458561,1.1357816
14.458561,2.3452077
13.690142,2.3727622
15.149258,1.7262676
15.149258,2.0639768
14.622244,2.0639768
15.830666,4.5199556
16.530579,5.0299106
18.45481,2.6925824
19.756012,3.7255871
24.74793,7.105632
24.74793,7.105632
18.606987,8.815328
15.405519,4.4988885
14.422552,3.6124783
14.422552,3.6124783
14.200705,3.472751
18.559633,8.125884
16.446884,3.1304953
16.446884,3.0594115
14.083678,4.544227
14.792228,4.544227
11.754999,3.992493
13.187116,3.992493
13.187116,1.9104973
14.137539,2.5019994
15.964023,2.5019994
10.10396,0.37416577
10.025967,0.8124038
10.50952,0.92736185
13.979985,1.1575837
13.979985,1.8788294
14.032819,1.7832555
14.032819,3.2771938
14.63489,4.121893
14.63489,5.526301
14.101772,5.526301
10.23963,0.71414286
12.817567,1.421267
12.817567,1.8466185
12.374975,1.8466185
14.264993,2.8248892
10.264502,1.1789825
10.136567,1.1789825
10.307764,1.2083046
13.272528,1.7029387
13.655767,2.368544
10.692521,2.4103942
11.250333,4.076763
11.250333,4.076763
12.169224,2.2113345
12.169224,2.2113345
11.536898,1.3341664
13.64771,1.3341664
18.012772,2.4758837
18.012772,2.4758837
17.122206,2.4919872
10.296116,0.70710677
10.20098,0.5477225
10.662552,0.7211103
11.407454,0.7211103
11.407454,0.83066237
11.799152,3.468429
11.799152,3.468429
12.049896,1.7378147
14.432256,1.7378147
14.432256,1.6155496
14.300349,5.2706738
11.126096,3.1
13.044539,4.0755367
14.909729,4.1097445
14.909729,4.1097445
13.672235,5.455272
13.124405,1.7492856
13.124405,2.9086082
12.078493,2.9086082
12.597222,1.9209373
24.415773,7.368853
24.415773,7.368853
17.317045,3.6742346
10.637199,1.7117244
9.901515,0.0
15.396429,8.815328
12.507198,2.638181
10.05833,0.90000004
11.552489,1.0677079
11.552489,1.9672316
16.383835,6.166847
11.706835,3.0951574
12.551892,2.4372115
12.685031,2.4372115
15.22728,3.6810324
12.16717,3.9306488
15.310454,2.6019223
15.310454,2.1494186
11.715801,1.5132746
10.232302,0.51961523
20.768486,7.8740077
20.768486,7.8740077
13.276295,2.922328
15.055564,4.6151924
15.055564,4.6151924
12.458331,4.1315856
12.458331,3.3970578
14.968634,2.3895605
14.968634,2.3895605
11.0363035,2.0712316
12.345039,5.834381
12.345039,3.3256578
11.790674,2.1
11.790674,2.1
11.73925,2.0542638
10.251341,3.354102
11.847784,3.354102
14.748899,2.5495098
14.748899,2.2090724
18.33494,3.4146743
18.766993,4.555217
18.766993,4.736032
33.144985,5.456189
33.144985,5.456189
12.099999,0.7280111
26.121256,8.21036
14.222868,4.892852
17.844046,5.4157176
17.844046,5.4157176
10.029955,0.14142135
17.280334,6.3269267
17.280334,6.3269267
11.690595,1.2247449
11.690595,1.2247449
10.915127,1.2083045
10.064293,0.41231057
9.9317665,0.3162278
10.0742235,0.51961523
10.0742235,0.51961523
10.485228,1.077033
11.505216,1.6062378
11.8482065,1.6062378
11.8482065,1.6431676
11.458621,2.0149443
14.2200575,2.9631062
11.786858,1.3038404
15.438265,4.5055523
15.438265,4.5055523
16.165396,3.9824617
16.165396,3.0626783
11.385077,2.4758837
12.002083,2.4758837
12.002083,2.1
12.929424,1.473092
12.929424,2.48998
11.321661,1.4247806
11.321661,1.4247806
13.66565,3.3674915
13.66565,3.3674915
10.627323,2.7018514
11.424973,1.2845232
11.889912,1.6401219
11.889912,1.6401219
13.064838,1.6431675
13.064838,1.6431675
11.064358,0.7549834
11.064358,2.1400933
13.414918,2.7313
13.414918,3.4655447
12.363253,3.4655447
11.5494585,1.8220868
11.400876,1.8220868
13.681008,2.3366642
15.700318,4.670118
15.700318,4.670118
10.281051,1.3490738
11.471704,1.8220866
11.766054,2.111871
12.884875,2.3366642
12.884875,2.758623
10.922454,1.0816654
11.997499,1.7117243
11.997499,2.2516663
13.179151,5.1097946
13.179151,5.1097946
15.134728,5.59017
15.134728,5.59017
11.849473,1.5297059
14.205632,2.0880613
14.205632,2.0904546
15.034627,2.4919872
15.034627,1.2369317
11.435908,1.926136
11.435908,1.926136
18.445866,9.493682
39.51772,10.013491
39.51772,10.013491
11.040833,2.0639768
11.040833,2.0904546
13.732807,3.1176913
12.894184,6.8622155
11.463856,1.5329709
10.26645,0.4
11.392541,1.1224972
11.392541,1.4525839
11.282731,2.5612497
23.210558,3.7709415
23.210558,3.7709415
11.92057,2.915476
13.581605,2.9274564
11.935241,2.1
11.935241,2.6038435
26.092335,4.3977265
26.092335,4.3977265
11.482595,1.6278821
12.2743635,1.3892444
12.221702,2.0904546
12.221702,2.0904546
22.847757,3.8327537
22.847757,3.8327537
15.985618,2.9597297
15.985618,2.611513
22.280485,2.4433582
22.280485,2.4433582
14.492757,4.9010205
14.492757,4.9010205
14.836104,5.889822
14.836104,5.889822
15.373353,3.1208973
15.373353,3.254228
16.3487,3.7416575
10.054849,0.36055514
10.600944,1.43527
11.615937,2.3790755
11.615937,2.3790755
12.682271,0.92736185
27.14848,7.4679313
27.14848,7.4679313
11.776672,0.678233
10.03992,0.099999994
11.158404,4.579301
16.403048,4.579301
29.321835,9.30215
52.418316,11.829624
52.418316,11.829624
10.069261,0.31622776
11.423222,1.9442223
11.423222,1.9442223
11.235658,1.8788294
11.235658,2.6019223
10.4028845,0.98994946
10.4028845,1.7916473
10.402404,1.7916473
37.23345,4.286024
37.23345,4.286024
10.47855,0.5744563
9.892422,0.20000002
12.807029,2.4124675
10.493331,0.76811457
10.439348,1.2569805
21.693317,4.867237
21.693317,4.867237
10.5782795,1.0198039
11.573246,1.024695
19.713194,3.419064
19.713194,3.419064
11.098649,2.7766886
10.0657835,1.0099505
9.944847,0.20000002
10.017983,0.24494895
10.326665,1.56205
11.191514,3.315117
11.191514,3.8288379
24.94554,6.293648
24.94554,6.293648
9.8944435,0.24494898
12.681483,0.5830952
11.265433,2.3216374
11.265433,2.3216374
35.532803,9.35735
15.224979,6.142475
15.224979,6.142475
13.913303,5.1312766
26.537708,6.116371
26.537708,6.116371
13.423859,4.5989127
12.532758,10.431204
11.9478035,3.7775652
12.171277,3.7336314
12.171277,2.0024984
10.530432,0.678233
10.431203,0.9110433
12.562245,4.836321
34.149376,11.003181
34.149376,11.003181
18.373077,2.9614186
10.224481,0.73484695
10.737318,0.969536
11.448581,2.4372115
19.03129,5.9110065
11.127443,1.805547
11.129242,1.805547
11.566763,1.6881943
32.506157,5.2573757
34.082985,8.112336
34.082985,8.112336
11.373653,3.2526913
15.689806,5.665686
15.689806,3.7121422
12.711411,1.183216
19.204428,6.2872887
19.204428,6.2872887
11.459929,1.1445524
18.050207,4.4821873
18.050207,4.4821873
13.223465,4.216634
16.480595,6.3371916
34.451412,4.112177
13.8170185,3.8923001
11.595258,3.8923001
15.444093,2.5337718
15.444093,2.5337718
9.976974,0.14142135
10.745232,0.73484695
10.791663,1.0392305
14.176389,2.302173
14.176389,2.302173
11.414902,2.2494442
13.219682,3.1257
13.219682,3.1257
14.512408,6.9526973
14.633182,2.734959
17.41637,4.5497255
17.41637,4.5497255
30.406248,6.03407
10.719142,0.89442724
11.876868,4.0865636
12.465553,4.0865636
15.748969,3.9
21.045902,6.1975803
14.408331,6.8278837
17.000587,3.6496572
17.000587,7.2346387
25.572056,11.237882
25.572056,11.237882
15.124153,4.847679
32.361088,17.901117
32.361088,17.901117
18.191757,6.104097
19.774984,9.102198
13.470709,4.751842
11.722201,1.264911
10.024969,0.591608
17.082447,7.991245
17.082447,7.991245
12.866235,4.9101934
12.646344,2.6324892
21.966793,7.983108
29.53422,19.3644
32.17033,19.3644
14.287758,3.0364451
19.289635,7.8523884
42.28392,13.176115
42.28392,13.176115
17.757814,4.554119
20.767282,10.892199
13.070195,4.851804
17.172945,5.8189344
17.172945,5.8189344
13.752817,4.643275
17.61647,7.1421285
16.149612,4.1291647
16.316248,7.981855
18.623909,8.062878
18.623909,11.343279
12.303658,4.3920383
15.577227,4.1833
15.577227,6.407808
28.81128,6.407808
28.81128,11.542963
12.361634,4.071855
12.361634,3.0248966
14.090422,3.2787194
16.95435,10.901835
16.95435,10.901835
17.269047,6.670832
17.269047,6.670832
17.18546,8.621486
28.124903,17.477985
28.124903,17.477985
16.523014,10.2391405
18.755533,2.773085
19.514353,6.1367745
24.217556,13.309395
25.757523,13.309395
14.605478,6.4109282
14.605478,6.4109282
14.221463,2.04939
