run_id,experiment_id,train_protocol,test_dataset,model_name,model_type,feature_set,feature_count,threshold,threshold_note,TN,FP,FN,TP,fall_precision,fall_recall,fall_f1,accuracy,AUROC,average_precision,FP_reduction_vs_A5,complexity,complexity_note
FALL_GradientBoosting_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.4041474170500204,best_val_f1_then_precision_with_recall088_tiebreak,608,27,13,60,0.6896551724137931,0.821917808219178,0.75,0.943502824858757,0.9730126199978427,0.8501749348136358,-6,100,GradientBoosting default trees=100
FALL_GradientBoosting_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.4041474170500204,best_val_f1_then_precision_with_recall088_tiebreak,467,13,11,37,0.74,0.7708333333333334,0.7551020408163265,0.9545454545454546,0.9798394097222223,0.8684972501536614,-13,100,GradientBoosting default trees=100
FALL_GradientBoosting_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED,weda,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.4041474170500204,best_val_f1_then_precision_with_recall088_tiebreak,141,14,2,23,0.6216216216216216,0.92,0.7419354838709677,0.9111111111111111,0.9723870967741935,0.8420946096946851,7,100,GradientBoosting default trees=100
FALL_GradientBoosting_FallNoTiming_Core_E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,E4_BITS_TO_WEDA,weda,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.45154072617295926,best_val_f1_then_precision_with_recall088_tiebreak,93,62,0,25,0.28735632183908044,1.0,0.44642857142857145,0.6555555555555556,0.9251612903225807,0.6105266543263821,-18,100,GradientBoosting default trees=100
FALL_GradientBoosting_FallNoTiming_Core_E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,E5_WEDA_TO_BITS,bits,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.88991895382407,best_val_f1_then_precision_with_recall088_tiebreak,473,7,24,24,0.7741935483870968,0.5,0.6075949367088608,0.9412878787878788,0.9522135416666666,0.706057358452078,-2,100,GradientBoosting default trees=100
FALL_GradientBoosting_FallNoTiming_Core_E6_E3_MIXED_TEST_BITS,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED_REUSED,bits,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.4041474170500204,best_val_f1_then_precision_with_recall088_tiebreak,467,13,11,37,0.74,0.7708333333333334,0.7551020408163265,0.9545454545454546,0.9798394097222223,0.8684972501536614,-13,100,GradientBoosting default trees=100
FALL_GradientBoosting_FallNoTiming_Core_E7_E3_MIXED_TEST_WEDA,E7_E3_MIXED_TEST_WEDA,E3_BITS_WEDA_MIXED_REUSED,weda,GradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.4041474170500204,best_val_f1_then_precision_with_recall088_tiebreak,141,14,2,23,0.6216216216216216,0.92,0.7419354838709677,0.9111111111111111,0.9723870967741935,0.8420946096946851,7,100,GradientBoosting default trees=100
FALL_HistGradientBoosting_FallNoTiming_Core_E1_BITS_TO_BITS,E1_BITS_TO_BITS,E1_BITS_TO_BITS,bits,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.15481157432335432,best_val_f1_then_precision_with_recall088_tiebreak,465,15,4,44,0.7457627118644068,0.9166666666666666,0.822429906542056,0.9640151515151515,0.9779947916666667,0.9241098539348871,-13,140,HistGradientBoosting max_iter=140
FALL_HistGradientBoosting_FallNoTiming_Core_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,weda,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.9968908416738408,best_val_f1_then_precision_with_recall088_tiebreak,155,0,11,14,1.0,0.56,0.717948717948718,0.9388888888888889,0.9914838709677419,0.9485281280583222,5,140,HistGradientBoosting max_iter=140
FALL_HistGradientBoosting_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,E3_BITS_WEDA_MIXED,bits+weda,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.46443172683126877,best_val_f1_then_precision_with_recall088_tiebreak,618,17,12,61,0.782051282051282,0.8356164383561644,0.8079470198675497,0.9590395480225988,0.9802394563693237,0.8945976671531417,4,140,HistGradientBoosting max_iter=140
FALL_HistGradientBoosting_FallNoTiming_Core_E3_BITS_WEDA_MIXED,E6_E3_MIXED_TEST_BITS,E3_BITS_WEDA_MIXED,bits,HistGradientBoosting,fall_only_ml,FallNoTiming_Core,16,0.46443172683126877,best_val_f1_then_precision_with_recall088_tiebreak,472,8,11,37,0.8222222222222222,0.7708333333333334,0.7956989247311828,0.9640151515151515,0.9832899305555556,0.911962661145966,-8,140,HistGradientBoosting max_iter=140
