experiment_id,model_name,model_type,feature_set,fall_expert,fall_precision,fall_recall,fall_f1,accuracy,FP,FN,TP,TN,AUROC,average_precision,complexity,notes,task,direction_model,direction_macro_f1,direction_accuracy,forward_f1,backward_f1,lateral_f1,direction_n_supervised,run_id,eval,dataset,n,E3_Fall_Precision,fall_accuracy,fall_auroc,fall_average_precision,end_to_end_direction_macro_f1,end_to_end_direction_coverage,end_to_end_direction_correct_rate,E7_WEDA_FP_reduction_vs_A5_reference,number_features,threshold,threshold_note,upper_bound_timing,deep_fall_used_for_final,direction_source,estimated_params_or_nodes,number_trees,max_depth,edge_suitability,complexity_notes
E4_BITS_TO_WEDA,LogisticRegression,ml_direction_only,DirectionCore,,,,,,,,,,,,65.0,best ML direction-only by protocol and feature set,direction,LogisticRegression,0.40196078431372556,0.48,0.7058823529411765,0.0,0.5,25.0,,,,,,,,,,,,,,,,,,,,,,,
E5_WEDA_TO_BITS,GradientBoosting,ml_direction_only,DirectionCore,,,,,,,,,,,,100.0,best ML direction-only by protocol and feature set,direction,GradientBoosting,0.5777777777777778,0.6666666666666666,0.8717948717948718,0.46153846153846156,0.4,36.0,,,,,,,,,,,,,,,,,,,,,,,
E6_E3_MIXED_TEST_BITS,RandomForest,ml_direction_only,DirectionCore,,,,,,,,,,,,300.0,best ML direction-only by protocol and feature set,direction,RandomForest,0.8732563732563733,0.8888888888888888,0.9444444444444444,0.8571428571428571,0.8181818181818182,36.0,,,,,,,,,,,,,,,,,,,,,,,
E7_E3_MIXED_TEST_WEDA,LogisticRegression,ml_direction_only,DirectionCore,,,,,,,,,,,,65.0,best ML direction-only by protocol and feature set,direction,LogisticRegression,0.8822021116138764,0.88,0.8235294117647058,0.9,0.9230769230769231,25.0,,,,,,,,,,,,,,,,,,,,,,,
E1_BITS_TO_BITS,RandomForest,ml_direction_only,DirectionNoMagnitude,,,,,,,,,,,,300.0,best ML direction-only by protocol and feature set,direction,RandomForest,0.9294947121034077,0.9166666666666666,0.918918918918919,1.0,0.8695652173913043,36.0,,,,,,,,,,,,,,,,,,,,,,,
E2_WEDA_TO_WEDA,LogisticRegression,ml_direction_only,DirectionNoMagnitude,,,,,,,,,,,,65.0,best ML direction-only by protocol and feature set,direction,LogisticRegression,0.8822021116138764,0.88,0.8235294117647058,0.9,0.9230769230769231,25.0,,,,,,,,,,,,,,,,,,,,,,,
E3_BITS_WEDA_MIXED,HistGradientBoosting,ml_direction_only,DirectionNoMagnitude,,,,,,,,,,,,140.0,best ML direction-only by protocol and feature set,direction,HistGradientBoosting,0.8329702251270877,0.8360655737704918,0.8518518518518519,0.8823529411764706,0.7647058823529411,61.0,,,,,,,,,,,,,,,,,,,,,,,
E4_BITS_TO_WEDA,LogisticRegression,ml_direction_only,DirectionNoMagnitude,,,,,,,,,,,,65.0,best ML direction-only by protocol and feature set,direction,LogisticRegression,0.40196078431372556,0.48,0.7058823529411765,0.0,0.5,25.0,,,,,,,,,,,,,,,,,,,,,,,
E5_WEDA_TO_BITS,GradientBoosting,ml_direction_only,DirectionNoMagnitude,,,,,,,,,,,,100.0,best ML direction-only by protocol and feature set,direction,GradientBoosting,0.5777777777777778,0.6666666666666666,0.8717948717948718,0.46153846153846156,0.4,36.0,,,,,,,,,,,,,,,,,,,,,,,
E6_E3_MIXED_TEST_BITS,RandomForest,ml_direction_only,DirectionNoMagnitude,,,,,,,,,,,,300.0,best ML direction-only by protocol and feature set,direction,RandomForest,0.8732563732563733,0.8888888888888888,0.9444444444444444,0.8571428571428571,0.8181818181818182,36.0,,,,,,,,,,,,,,,,,,,,,,,
E7_E3_MIXED_TEST_WEDA,LogisticRegression,ml_direction_only,DirectionNoMagnitude,,,,,,,,,,,,65.0,best ML direction-only by protocol and feature set,direction,LogisticRegression,0.8822021116138764,0.88,0.8235294117647058,0.9,0.9230769230769231,25.0,,,,,,,,,,,,,,,,,,,,,,,
E1_BITS_TO_BITS,RandomForest,ml_direction_only,DirectionFullNoTiming,,,,,,,,,,,,300.0,best ML direction-only by protocol and feature set,direction,RandomForest,0.9537037037037037,0.9444444444444444,0.9444444444444444,1.0,0.9166666666666666,36.0,,,,,,,,,,,,,,,,,,,,,,,
E2_WEDA_TO_WEDA,LinearSVM,ml_direction_only,DirectionFullNoTiming,,,,,,,,,,,,133.0,best ML direction-only by protocol and feature set,direction,LinearSVM,0.8740740740740741,0.88,0.8888888888888888,0.9,0.8333333333333334,25.0,,,,,,,,,,,,,,,,,,,,,,,
E3_BITS_WEDA_MIXED,HistGradientBoosting,ml_direction_only,DirectionFullNoTiming,,,,,,,,,,,,140.0,best ML direction-only by protocol and feature set,direction,HistGradientBoosting,0.8796786399902349,0.8852459016393442,0.9122807017543859,0.9032258064516129,0.8235294117647058,61.0,,,,,,,,,,,,,,,,,,,,,,,
E4_BITS_TO_WEDA,RandomForest,ml_direction_only,DirectionFullNoTiming,,,,,,,,,,,,300.0,best ML direction-only by protocol and feature set,direction,RandomForest,0.4041771094402673,0.44,0.631578947368421,0.2,0.38095238095238093,25.0,,,,,,,,,,,,,,,,,,,,,,,
E5_WEDA_TO_BITS,RandomForest,ml_direction_only,DirectionFullNoTiming,,,,,,,,,,,,300.0,best ML direction-only by protocol and feature set,direction,RandomForest,0.5794871794871794,0.6666666666666666,0.8717948717948718,0.5333333333333333,0.3333333333333333,36.0,,,,,,,,,,,,,,,,,,,,,,,
E6_E3_MIXED_TEST_BITS,HistGradientBoosting,ml_direction_only,DirectionFullNoTiming,,,,,,,,,,,,140.0,best ML direction-only by protocol and feature set,direction,HistGradientBoosting,0.8732563732563733,0.8888888888888888,0.9444444444444444,0.8571428571428571,0.8181818181818182,36.0,,,,,,,,,,,,,,,,,,,,,,,
E7_E3_MIXED_TEST_WEDA,GradientBoosting,ml_direction_only,DirectionFullNoTiming,,,,,,,,,,,,100.0,best ML direction-only by protocol and feature set,direction,GradientBoosting,0.88507326007326,0.88,0.8571428571428571,0.875,0.9230769230769231,25.0,,,,,,,,,,,,,,,,,,,,,,,
,,hybrid_ml_fall_a5_direction,FullNoTiming,HGB,0.9041095890410958,0.9041095890410958,0.9041095890410958,,7.0,7.0,66.0,628.0,,,,previous hybrid result,fall,,0.8966626725247414,0.9016393442622952,0.9285714285714286,0.896551724137931,0.8648648648648649,61.0,HYB_HGB_FullNoTiming,E3,bits+weda,708.0,,0.980225988700565,0.9822025671448604,0.9542760208924828,0.8456790123456791,0.918032786885246,0.819672131147541,,132.0,0.2048912043068868,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
,,hybrid_ml_fall_a5_direction,FullNoTiming,HGB,1.0,0.875,0.9333333333333332,,0.0,6.0,42.0,480.0,,,,previous hybrid result,fall,,0.9350469350469351,0.9444444444444444,0.972972972972973,0.9230769230769232,0.9090909090909092,36.0,HYB_HGB_FullNoTiming,E6,bits,528.0,,0.9886363636363636,0.9803819444444444,0.960167590532261,0.8682539682539683,0.8888888888888888,0.8333333333333334,,132.0,0.2048912043068868,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
,,hybrid_ml_fall_a5_direction,FullNoTiming,HGB,0.7741935483870968,0.96,0.8571428571428571,,7.0,1.0,24.0,148.0,,,,previous hybrid result,fall,,0.8390350877192981,0.84,0.8421052631578947,0.875,0.8,25.0,HYB_HGB_FullNoTiming,E7,weda,180.0,,0.9555555555555556,0.9907096774193548,0.9601019410696832,0.8140350877192982,0.96,0.8,14.0,132.0,0.2048912043068868,best_val_f1_then_recall088_hard_negative_fp_tiebreak,False,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
,,hybrid_ml_fall_a5_direction,FullTiming,HGB,0.9210526315789472,0.958904109589041,0.9395973154362416,,6.0,3.0,70.0,629.0,,,,previous hybrid result,fall,,0.8966626725247414,0.9016393442622952,0.9285714285714286,0.896551724137931,0.8648648648648649,61.0,HYB_HGB_FullTiming,E3,bits+weda,708.0,,0.9872881355932204,0.9960306331571568,0.9807603171388762,0.8770328770328769,0.9672131147540984,0.8688524590163934,,136.0,0.3225313807531381,best_val_f1_then_recall088_hard_negative_fp_tiebreak,True,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
,,hybrid_ml_fall_a5_direction,FullTiming,HGB,0.9375,0.9375,0.9375,,3.0,3.0,45.0,477.0,,,,previous hybrid result,fall,,0.9350469350469351,0.9444444444444444,0.972972972972973,0.9230769230769232,0.9090909090909092,36.0,HYB_HGB_FullTiming,E6,bits,528.0,,0.9886363636363636,0.996267361111111,0.9765630625054152,0.8956228956228957,0.9444444444444444,0.8888888888888888,,136.0,0.3225313807531381,best_val_f1_then_recall088_hard_negative_fp_tiebreak,True,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
,,hybrid_ml_fall_a5_direction,FullTiming,HGB,0.8928571428571429,1.0,0.9433962264150944,,3.0,0.0,25.0,152.0,,,,previous hybrid result,fall,,0.8390350877192981,0.84,0.8421052631578947,0.875,0.8,25.0,HYB_HGB_FullTiming,E7,weda,180.0,,0.9833333333333332,0.999483870967742,0.9968615384615386,0.8390350877192981,1.0,0.84,18.0,136.0,0.3225313807531381,best_val_f1_then_recall088_hard_negative_fp_tiebreak,True,False,A5_reference,100.0,100.0,,low,HistGradientBoosting iterations=100.
