run_id,protocol_id,feature_set,model_name,feature,importance
FALLRED_RandomForest_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,RandomForest,acc_mag_range,0.16036646689495312
FALLRED_RandomForest_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,RandomForest,acc_mag_max,0.13468803619922845
FALLRED_RandomForest_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,RandomForest,post_acc_mag_std,0.10356035590681778
FALLRED_RandomForest_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,RandomForest,gyro_mag_p95,0.09759401528815109
FALLRED_RandomForest_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,RandomForest,acc_mag_std,0.08617114735888567
FALLRED_RandomForest_FallTop8_ImpactEnergy_E1_BITS_TO_BITS,E1_BITS_TO_BITS,FallTop8_ImpactEnergy,RandomForest,acc_mag_p95,0.0498903067851311
FALLRED_RandomForest_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,acc_mag_range,0.18057277396801574
FALLRED_RandomForest_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,acc_mag_std,0.17765013953995554
FALLRED_RandomForest_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,jerk_std,0.16076899202702138
FALLRED_RandomForest_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,acc_mag_max,0.13560270936825847
FALLRED_RandomForest_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,post_acc_mag_std,0.11881267019366941
FALLRED_RandomForest_FallTop8_ImpactEnergy_E2_WEDA_TO_WEDA,E2_WEDA_TO_WEDA,FallTop8_ImpactEnergy,RandomForest,jerk_p95,0.09256110297318323
