variant,experiment_id,fall_f1,fall_precision,fall_recall,FP,direction_macro_f1,params_direction,fall_feature_count,avg_fall_f1,E7_fall_f1,E7_FP,avg_direction_macro_f1,E7_direction_macro_f1
FallReduced_TinyGB10_d2_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8088589270985876,0.7857142857142857,9.0,,
FallReduced_TinyGB10_d2_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.6731501574127631,0.6885245901639344,15.0,,
FallReduced_TinyGB10_d2_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.770751460147209,0.7547169811320755,8.0,,
FallReduced_TinyGB10_d2_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.6501202501202502,0.6545454545454545,12.0,,
FallReduced_TinyGB10_d2_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.8023178376425945,0.7719298245614035,10.0,,
FallReduced_TinyGB10_d2_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.6186973754264192,0.6382978723404256,7.0,,
FallReduced_TinyGB10_d2_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.6802562698123397,0.711864406779661,13.0,,
FallReduced_TinyGB10_d3_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.7067828300911008,0.7017543859649122,12.0,,
FallReduced_TinyGB10_d3_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8133119731252535,0.7796610169491526,11.0,,
FallReduced_TinyGB10_d3_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.6932601318090738,0.6666666666666666,25.0,,
FallReduced_TinyGB10_d3_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.8052898666241565,0.7777777777777778,8.0,,
FallReduced_TinyGB10_d3_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7024943310657595,0.6666666666666666,13.0,,
FallReduced_TinyGB10_d3_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.8155955136193698,0.8,8.0,,
FallReduced_TinyGB10_d3_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7365833900561309,0.7575757575757576,16.0,,
FallReduced_TinyGB10_d3_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.6502354788069075,0.6122448979591837,9.0,,
FallReduced_TinyGB20_d2_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.6830567827367494,0.6578947368421053,26.0,,
FallReduced_TinyGB20_d2_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.7893509240266131,0.7301587301587301,15.0,,
FallReduced_TinyGB20_d2_FallTop10_ImpactGyroPosture_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.6718396147703163,0.6779661016949152,14.0,,
FallReduced_TinyGB20_d2_FallTop10_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,10.0,0.7742027033989404,0.6984126984126984,16.0,,
FallReduced_TinyGB20_d2_FallTop12_NoTimingCore_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.6612069056418143,0.6410256410256411,28.0,,
FallReduced_TinyGB20_d2_FallTop12_SelectedByImportance_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.7959629941126997,0.7586206896551724,11.0,,
FallReduced_TinyGB20_d2_FallTop12_WithDirectionRelevant_A5Direction,E3/E6/E7_avg,,,,,,,12.0,0.6744610580676155,0.6410256410256411,28.0,,
FallReduced_TinyGB20_d2_FallTop8_ImpactEnergy_A5Direction,E3/E6/E7_avg,,,,,,,8.0,0.6927681992337164,0.7241379310344828,12.0,,
FallReduced_TinyGB20_d3_FallNoTiming_Core_16_A5Direction,E3/E6/E7_avg,,,,,,,16.0,0.7454303742290267,0.746268656716418,17.0,,
FallReduced_TinyGB20_d3_FallNoTiming_Full_132_A5Direction,E3/E6/E7_avg,,,,,,,132.0,0.8225375064208159,0.8148148148148148,7.0,,
