run_id,group_id,config_id,feature_set,width_multiplier,shared_dense,head_dense,sampler,fall_loss,alpha_fall,lambda_dir,fall_gamma,direction_loss,adapter_type,adapter_filters,impact_position,learning_rate,notes,seed,train_dataset,test_dataset,sampling_rate,window_seconds,input_shape,n_train,n_val,n_test,params,model_size_float32_kb,model_size_int8_kb,fall_threshold,val_best_fall_f1,fall_precision,fall_recall,fall_f1,fall_accuracy,direction_macro_f1,direction_accuracy,direction_n_supervised,bits_fall_f1,bits_fall_precision,bits_fall_recall,bits_direction_macro_f1,bits_direction_accuracy,bits_direction_n_supervised,weda_fall_f1,weda_fall_precision,weda_fall_recall,weda_direction_macro_f1,weda_direction_accuracy,weda_direction_n_supervised,best_epoch,best_val_loss,best_monitor,train_seconds,sampler_note,mixed_forward_f1,mixed_backward_f1,mixed_lateral_f1,bits_forward_f1,bits_backward_f1,bits_lateral_f1,weda_forward_f1,weda_backward_f1,weda_lateral_f1,selection_score,passes_hard_filter
FA0_RAW6,feature_ablation,FA0,raw6,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 6)",3999,748,708,65479,255.77734375,63.9443359375,0.7199999999999996,0.8857142857142857,0.8676470588235294,0.8082191780821918,0.8368794326241135,0.9675141242937854,0.7202686202686204,0.7377049180327869,61,0.8705882352941177,1.0,0.7708333333333334,0.8181345224823486,0.8333333333333334,36,0.7857142857142857,0.7096774193548387,0.88,0.6018518518518519,0.6,25,12,0.5813185572624207,1.695589667034465,71.7501956999995,current shuffle,0.8,0.6428571428571429,0.717948717948718,0.8717948717948718,0.8,0.782608695652174,0.625,0.5555555555555556,0.625,0.7504279897083402,False
FA1_FA1_ACC_MAG7,feature_ablation,FA1,fa1_acc_mag7,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 7)",3999,748,708,65559,256.08984375,64.0224609375,0.8999999999999996,0.8435374149659864,0.8266666666666667,0.8493150684931506,0.8378378378378378,0.9661016949152542,0.6596825396825398,0.6885245901639344,61,0.898876404494382,0.975609756097561,0.8333333333333334,0.6185352018685352,0.75,36,0.7457627118644068,0.6470588235294118,0.88,0.5908496732026144,0.6,25,18,0.7807527184486389,1.5858190343278598,88.72582809999949,current shuffle,0.8,0.56,0.6190476190476191,0.8648648648648649,0.25,0.7407407407407407,0.6666666666666666,0.7058823529411765,0.4,0.725434627578421,False
FA2_FA2_MAG8,feature_ablation,FA2,fa2_mag8,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 8)",3999,748,708,65639,256.40234375,64.1005859375,0.6499999999999997,0.8435374149659864,0.7804878048780488,0.8767123287671232,0.8258064516129032,0.961864406779661,0.6829059829059828,0.7049180327868853,61,0.9111111111111112,0.9761904761904762,0.8541666666666666,0.6848011891490152,0.7777777777777778,36,0.7076923076923077,0.575,0.92,0.5943223443223443,0.6,25,18,0.7942285537719727,1.544117481826047,123.32928869999978,current shuffle,0.7666666666666667,0.6153846153846154,0.6666666666666666,0.8717948717948718,0.4,0.782608695652174,0.5714285714285714,0.75,0.4615384615384615,0.7211459687266137,False
FA3_MAG_JERK9,feature_ablation,FA3,mag_jerk9,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 9)",3999,748,708,65719,256.71484375,64.1787109375,0.5299999999999998,0.8827586206896552,0.8309859154929577,0.8082191780821918,0.8194444444444444,0.963276836158192,0.6556783809052412,0.6885245901639344,61,0.8735632183908046,0.9743589743589745,0.7916666666666666,0.6483542365895307,0.7222222222222222,36,0.7368421052631579,0.65625,0.84,0.6262626262626262,0.64,25,13,0.635746955871582,1.5955957442022628,90.54842290000032,current shuffle,0.8363636363636363,0.5789473684210527,0.5517241379310345,0.918918918918919,0.4705882352941176,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.7232036792608482,False
FA4_FA4_ROLL_PITCH8,feature_ablation,FA4,fa4_roll_pitch8,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 8)",3999,748,708,65639,256.40234375,64.1005859375,0.7599999999999997,0.8955223880597015,0.8194444444444444,0.8082191780821918,0.8137931034482758,0.961864406779661,0.6032738095238096,0.6557377049180327,61,0.8837209302325582,1.0,0.7916666666666666,0.6318322200675142,0.6944444444444444,36,0.711864406779661,0.6176470588235294,0.84,0.5597147950089126,0.6,25,10,0.6041229963302612,1.6865591397849462,83.50334650000059,current shuffle,0.78125,0.6,0.4285714285714285,0.8095238095238095,0.6153846153846154,0.4705882352941176,0.7272727272727273,0.5882352941176471,0.3636363636363636,0.6902581832963445,False
FA5_FA5_TILT9,feature_ablation,FA5,fa5_tilt9,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 9)",3999,748,708,65719,256.71484375,64.1787109375,0.6899999999999997,0.8648648648648649,0.6956521739130435,0.8767123287671232,0.7757575757575758,0.9477401129943502,0.7188054882970137,0.7377049180327869,61,0.8367346938775511,0.82,0.8541666666666666,0.8290598290598291,0.8055555555555556,36,0.6865671641791045,0.5476190476190477,0.92,0.6238095238095238,0.64,25,22,0.6323545575141907,1.6801308827624617,94.6545772999998,current shuffle,0.8135593220338984,0.7142857142857143,0.6285714285714286,0.8205128205128205,1.0,0.6666666666666666,0.8,0.5,0.5714285714285714,0.7135193877472799,False
FA6_FA6_NO_JERK11,feature_ablation,FA6,fa6_no_jerk11,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 11)",3999,748,708,65879,257.33984375,64.3349609375,0.8899999999999996,0.9154929577464788,0.7926829268292683,0.8904109589041096,0.8387096774193549,0.9646892655367232,0.7506574786111387,0.7704918032786885,61,0.8936170212765957,0.9130434782608696,0.875,0.7668326220957798,0.8055555555555556,36,0.7540983606557377,0.6388888888888888,0.92,0.7148148148148148,0.72,25,18,0.5200531482696533,1.6117881241565453,81.52523539999947,current shuffle,0.8421052631578947,0.7647058823529411,0.6451612903225806,0.918918918918919,0.75,0.631578947368421,0.7,0.7777777777777778,0.6666666666666666,0.7747703617458938,False
FA7_FA7_NO_GYRO_MAG11,feature_ablation,FA7,fa7_no_gyro_mag11,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 11)",3999,748,708,65879,257.33984375,64.3349609375,0.8899999999999996,0.8652482269503546,0.8450704225352113,0.821917808219178,0.8333333333333334,0.9661016949152542,0.6883415435139574,0.7049180327868853,61,0.8837209302325582,1.0,0.7916666666666666,0.7503607503607505,0.7777777777777778,36,0.7586206896551724,0.6666666666666666,0.88,0.5985029463290333,0.6,25,13,0.5607755780220032,1.59405945355822,66.45088510000005,current shuffle,0.7586206896551724,0.6206896551724138,0.6857142857142857,0.8571428571428571,0.6666666666666666,0.7272727272727273,0.6086956521739131,0.5714285714285714,0.6153846153846154,0.7352636549090648,False
FA8_TILT12,feature_ablation,FA8,tilt12,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.8999999999999996,0.8666666666666667,0.8666666666666667,0.8904109589041096,0.8783783783783784,0.9745762711864406,0.7618010167029775,0.7704918032786885,61,0.9213483146067416,1.0,0.8541666666666666,0.7839955620275987,0.8055555555555556,36,0.8135593220338984,0.7058823529411765,0.96,0.7243083003952568,0.72,25,29,0.7993748188018799,1.5975968838713936,131.2970122000006,current shuffle,0.8148148148148148,0.7058823529411765,0.7647058823529411,0.8421052631578947,0.7272727272727273,0.782608695652174,0.75,0.6956521739130435,0.7272727272727273,0.8054197958938143,False
W050_WIDTH,compactness,W050,tilt12,0.5,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,19719,77.02734375,19.2568359375,0.5099999999999998,0.8444444444444444,0.7763157894736842,0.8082191780821918,0.7919463087248322,0.9562146892655368,0.6620811287477953,0.6885245901639344,61,0.8602150537634409,0.8888888888888888,0.8333333333333334,0.649294805641555,0.6944444444444444,36,0.6785714285714286,0.6129032258064516,0.76,0.6632996632996633,0.68,25,8,0.6968058943748474,1.449188275562432,37.22077399999944,current shuffle,0.8148148148148148,0.6,0.5714285714285714,0.8333333333333334,0.5263157894736842,0.5882352941176471,0.7777777777777778,0.6666666666666666,0.5454545454545454,0.7099785323553095,False
W075_WIDTH,compactness,W075,tilt12,0.75,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,39495,154.27734375,38.5693359375,0.8699999999999996,0.8333333333333334,0.7926829268292683,0.8904109589041096,0.8387096774193549,0.9646892655367232,0.6820801961930302,0.7213114754098361,61,0.9230769230769232,0.9767441860465116,0.875,0.6623931623931624,0.7222222222222222,36,0.71875,0.5897435897435898,0.92,0.7012066365007542,0.72,25,16,0.5938044786453247,1.4087106631695645,56.81083179999951,current shuffle,0.847457627118644,0.5517241379310345,0.6470588235294118,0.8205128205128205,0.5,0.6666666666666666,0.9,0.5882352941176471,0.6153846153846154,0.7487188825518823,False
W100_WIDTH,compactness,W100,tilt12,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.8999999999999996,0.8666666666666667,0.8666666666666667,0.8904109589041096,0.8783783783783784,0.9745762711864406,0.7618010167029775,0.7704918032786885,61,0.9213483146067416,1.0,0.8541666666666666,0.7839955620275987,0.8055555555555556,36,0.8135593220338984,0.7058823529411765,0.96,0.7243083003952568,0.72,25,29,0.7993748188018799,1.5975968838713936,104.28354070000024,current shuffle,0.8148148148148148,0.7058823529411765,0.7647058823529411,0.8421052631578947,0.7272727272727273,0.782608695652174,0.75,0.6956521739130435,0.7272727272727273,0.8054197958938143,False
W125_WIDTH,compactness,W125,tilt12,1.25,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,99111,387.15234375,96.7880859375,0.6999999999999996,0.8732394366197183,0.8266666666666667,0.8493150684931506,0.8378378378378378,0.9661016949152542,0.62926267281106,0.639344262295082,61,0.8913043478260869,0.9318181818181818,0.8541666666666666,0.753056884635832,0.75,36,0.75,0.6774193548387096,0.84,0.4702093397745572,0.48,25,12,0.5900906324386597,1.6270906432748538,75.60427999999956,current shuffle,0.6785714285714286,0.6285714285714286,0.5806451612903226,0.7894736842105263,0.8333333333333334,0.6363636363636364,0.4444444444444444,0.5217391304347826,0.4444444444444444,0.6687062090655999,False
D48_24_HEAD,compactness,D48_24,tilt12,1.0,48,24,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,71375,278.80859375,69.7021484375,0.5799999999999997,0.9006622516556292,0.7469879518072289,0.8493150684931506,0.7948717948717948,0.9548022598870056,0.7090604495323188,0.7377049180327869,61,0.875,0.875,0.875,0.7604125864995431,0.8055555555555556,36,0.6666666666666666,0.5714285714285714,0.8,0.6349206349206349,0.64,25,23,0.4898854494094848,1.6339779931111198,85.70412410000063,current shuffle,0.8275862068965517,0.6153846153846154,0.6842105263157895,0.918918918918919,0.6666666666666666,0.6956521739130435,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.7108808381148358,False
D32_16_HEAD,compactness,D32_16,tilt12,1.0,32,16,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,66935,261.46484375,65.3662109375,0.4099999999999998,0.8450704225352113,0.8441558441558441,0.8904109589041096,0.8666666666666667,0.9717514124293786,0.7278138528138527,0.7540983606557377,61,0.9230769230769232,0.9767441860465116,0.875,0.8071188071188072,0.8333333333333334,36,0.7796610169491526,0.6764705882352942,0.92,0.6197330934173039,0.64,25,13,0.7818702459335327,1.564911692376481,56.941899000000376,current shuffle,0.8727272727272727,0.625,0.6857142857142857,0.8888888888888888,0.7142857142857143,0.8181818181818182,0.8421052631578947,0.5555555555555556,0.4615384615384615,0.7641867385544906,False
B0_BASE_A5WCEFW,baseline,B0,tilt12,1.0,0,32,current,weighted_ce,1.0,1.5,2.0,weighted_ce,none,0,0.5,0.001,"Current A5WCEFW recipe, plus validation-tuned threshold evaluation.",42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.8999999999999996,0.863013698630137,0.8378378378378378,0.8493150684931506,0.8435374149659864,0.9675141242937854,0.7024827024827025,0.7377049180327869,61,0.898876404494382,0.975609756097561,0.8333333333333334,0.8449536493014754,0.8611111111111112,36,0.7586206896551724,0.6666666666666666,0.88,0.5069597069597069,0.56,25,15,0.295026570558548,1.7144384979878062,89.51690770000005,current shuffle,0.8253968253968254,0.6153846153846154,0.6666666666666666,0.918918918918919,0.8333333333333334,0.782608695652174,0.6923076923076923,0.4285714285714285,0.4,0.7237840260799248,False
L3_FALL_WCE,loss,L3,tilt12,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.8299999999999996,0.8811188811188811,0.8985507246376812,0.8493150684931506,0.8732394366197183,0.9745762711864406,0.8298412698412699,0.8360655737704918,61,0.9090909090909092,1.0,0.8333333333333334,0.8035964035964036,0.8333333333333334,36,0.8148148148148148,0.7586206896551724,0.88,0.8390350877192981,0.84,25,31,0.9411962032318116,1.6107505354817184,126.5682085999997,current shuffle,0.88,0.8,0.8095238095238095,0.9142857142857144,0.7272727272727273,0.7692307692307693,0.8,0.8421052631578947,0.875,0.8433993594742297,False
L4_FALL_WCE,loss,L4,tilt12,1.0,0,32,current,weighted_ce,1.5,0.75,2.0,ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.7999999999999996,0.8133333333333334,0.7974683544303798,0.863013698630137,0.8289473684210527,0.963276836158192,0.7680332739156267,0.7868852459016393,61,0.9090909090909092,1.0,0.8333333333333334,0.8063063063063064,0.8333333333333334,36,0.71875,0.5897435897435898,0.92,0.7100014994751837,0.72,25,36,0.7173066139221191,1.5868202062822316,131.5030410999998,current shuffle,0.8727272727272727,0.7647058823529411,0.6666666666666666,0.918918918918919,0.8,0.7,0.7777777777777778,0.7368421052631579,0.6153846153846154,0.768891991579685,False
S3_DATASET_BALANCED,sampler,S3,tilt12,1.0,0,32,dataset_balanced,weighted_ce,2.0,1.0,2.0,weighted_ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.5399999999999998,0.8271604938271605,0.8125,0.8904109589041096,0.8496732026143791,0.9675141242937854,0.853968253968254,0.8688524590163934,61,0.945054945054945,1.0,0.8958333333333334,0.8534618534618535,0.8888888888888888,36,0.7096774193548387,0.5945945945945946,0.88,0.8409258440218191,0.84,25,31,0.8901370167732239,1.5640817177402542,249.72055529999943,dataset_balanced static oversample n=9100,0.9285714285714286,0.8,0.8333333333333334,0.972972972972973,0.7692307692307693,0.8181818181818182,0.8421052631578947,0.8235294117647058,0.8571428571428571,0.8213060201225587,False
S5_DATASET_BALANCED,sampler,S5,tilt12,1.0,0,32,dataset_balanced,focal,1.0,1.0,2.0,weighted_ce,none,0,0.5,0.001,,42,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.8999999999999996,0.8163265306122449,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.9661016949152542,0.801835559900076,0.819672131147541,61,0.9213483146067416,1.0,0.8541666666666666,0.8063063063063064,0.8333333333333334,36,0.7017543859649122,0.625,0.8,0.7962962962962963,0.8,25,19,0.2659278512001037,1.5564239960581423,191.6826673000005,dataset_balanced static oversample n=9100,0.9090909090909092,0.7741935483870968,0.7222222222222222,0.918918918918919,0.8,0.7,0.8888888888888888,0.75,0.75,0.7920083560503797,False
L3_FALL_WCE,loss,L3,tilt12,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,7,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.6699999999999997,0.8767123287671232,0.7325581395348837,0.863013698630137,0.7924528301886793,0.9533898305084746,0.7031269311580769,0.7377049180327869,61,0.8602150537634409,0.8888888888888888,0.8333333333333334,0.7974358974358976,0.8333333333333334,36,0.696969696969697,0.5609756097560976,0.92,0.5988903883640725,0.6,25,9,0.4557673037052154,1.638075874065335,72.80851509999957,current shuffle,0.8620689655172413,0.5806451612903226,0.6666666666666666,0.9230769230769232,0.7692307692307693,0.7,0.7368421052631579,0.4444444444444444,0.6153846153846154,0.7129282606366268,False
L3_FALL_WCE,loss,L3,tilt12,1.0,0,32,current,weighted_ce,2.0,1.0,2.0,ce,none,0,0.5,0.001,,123,bits+weda,bits+weda,25.0,2.0,"(50, 12)",3999,748,708,65959,257.65234375,64.4130859375,0.2699999999999999,0.8143712574850299,0.6767676767676768,0.9178082191780822,0.7790697674418605,0.9463276836158192,0.817367220593027,0.8360655737704918,61,0.8888888888888888,0.8627450980392157,0.9166666666666666,0.8354497354497354,0.8611111111111112,36,0.6301369863013698,0.4791666666666667,0.92,0.7664160401002507,0.8,25,47,0.8736152052879333,1.611147186147186,156.82221370000025,current shuffle,0.9090909090909092,0.8333333333333334,0.7096774193548387,0.9444444444444444,0.8,0.7619047619047619,0.8421052631578947,0.8571428571428571,0.6,0.7579064191362372,False
