run_id,seed,eval,dataset,forward_f1,backward_f1,lateral_f1,confusion_matrix
L4_FALL_WCE,7,E6,bits,0.8823529411764706,0.7692307692307693,0.72,
L4_FALL_WCE,7,E7,weda,0.6666666666666666,0.6,0.5333333333333333,
L4_FALL_WCE,123,E6,bits,0.9444444444444444,0.6666666666666666,0.75,
L4_FALL_WCE,123,E7,weda,0.5,0.75,0.4,
S3_DATASET_BALANCED,7,E6,bits,0.8571428571428571,0.9090909090909092,0.631578947368421,
S3_DATASET_BALANCED,7,E7,weda,0.5882352941176471,0.7777777777777778,0.5333333333333333,
S3_DATASET_BALANCED,123,E6,bits,0.8235294117647058,0.7142857142857143,0.6666666666666666,
S3_DATASET_BALANCED,123,E7,weda,0.75,0.6666666666666666,0.6153846153846154,
S5_DATASET_BALANCED,7,E6,bits,0.8888888888888888,0.9230769230769232,0.782608695652174,
S5_DATASET_BALANCED,7,E7,weda,0.9411764705882352,0.9,0.9230769230769232,
S5_DATASET_BALANCED,123,E6,bits,0.8235294117647058,0.8,0.6956521739130435,
S5_DATASET_BALANCED,123,E7,weda,0.5333333333333333,0.7,0.4,
L6_FALL2_DIRW15,42,E6,bits,0.8421052631578947,0.9230769230769232,0.6666666666666666,
L6_FALL2_DIRW15,42,E7,weda,0.4705882352941176,0.6666666666666666,0.5333333333333333,
L7_FALL2_DIRW20,42,E6,bits,0.9142857142857144,0.8571428571428571,0.782608695652174,
L7_FALL2_DIRW20,42,E7,weda,0.625,0.7368421052631579,0.8,
REF_CURRENT_E3_ARTIFACT,42,E6,bits,0.972972972972973,0.9230769230769231,0.9090909090909091,
REF_CURRENT_E3_ARTIFACT,42,E7,weda,0.8421052631578947,0.875,0.8,
