model_name,task,feature,class_name,native_importance,signed_coefficient,permutation_importance_mean,permutation_importance_std
logistic_regression,direction_classification,ay_max,backward,0.4118237450649068,-0.4118237450649068,,
logistic_regression,direction_classification,ay_max,lateral,0.26637070939681223,-0.26637070939681223,,
logistic_regression,direction_classification,ay_range,,0.13185185086016438,,0.007994090347031557,0.009790721153967908
logistic_regression,direction_classification,ay_range,forward,0.1164917936565521,0.1164917936565521,,
logistic_regression,direction_classification,ay_range,backward,0.19777777629024637,-0.19777777629024637,,
logistic_regression,direction_classification,ay_range,lateral,0.08128598263369471,0.08128598263369471,,
logistic_regression,direction_classification,ay_final_initial,,0.137281613973504,,0.011991135520547336,0.009790721153967908
logistic_regression,direction_classification,ay_final_initial,forward,0.061336690242995096,0.061336690242995096,,
logistic_regression,direction_classification,ay_final_initial,backward,0.20592242096025523,-0.20592242096025523,,
logistic_regression,direction_classification,ay_final_initial,lateral,0.14458573071726172,0.14458573071726172,,
logistic_regression,direction_classification,ay_median,,0.4155096906268576,,0.0666666666666667,0.012300303786280865
logistic_regression,direction_classification,ay_median,forward,0.4706510307360634,-0.4706510307360634,,
logistic_regression,direction_classification,ay_median,backward,0.15261350520422223,-0.15261350520422223,,
logistic_regression,direction_classification,ay_median,lateral,0.6232645359402871,0.6232645359402871,,
logistic_regression,direction_classification,ay_iqr,,0.4128569321027147,,0.045523327819656914,0.014553833733476322
logistic_regression,direction_classification,ay_iqr,forward,0.6192853981540698,-0.6192853981540698,,
logistic_regression,direction_classification,ay_iqr,backward,0.3529881969331434,0.3529881969331434,,
logistic_regression,direction_classification,ay_iqr,lateral,0.2662972012209307,0.2662972012209307,,
logistic_regression,direction_classification,peak_signed_ay,,0.10265550414579555,,0.005919041213158849,0.007249315369371749
logistic_regression,direction_classification,peak_signed_ay,forward,0.1539832562186928,-0.1539832562186928,,
logistic_regression,direction_classification,peak_signed_ay,backward,0.07742566898658375,0.07742566898658375,,
logistic_regression,direction_classification,peak_signed_ay,lateral,0.07655758723211008,0.07655758723211008,,
