model_name,task,feature,class_name,native_importance,signed_coefficient,permutation_importance_mean,permutation_importance_std
logistic_regression,fall_detection,peak_signed_gz,,0.02410272211981277,-0.02410272211981277,-0.003516076798519574,0.004306297026405806
logistic_regression,fall_detection,integrated_gz,,0.28544158355701893,0.28544158355701893,-0.0002976962678720607,0.0032751179039391953
logistic_regression,fall_detection,acc_mag_mean,,0.6324243851861817,-0.6324243851861817,-0.011281237846123383,0.013372972563670387
logistic_regression,fall_detection,acc_mag_std,,0.6141837531222829,-0.6141837531222829,-0.010211368939863918,0.008987677410607596
logistic_regression,fall_detection,acc_mag_min,,0.5225630158959106,-0.5225630158959106,0.014835763850129413,0.006577183872080124
logistic_regression,fall_detection,acc_mag_max,,0.08616903569261603,0.08616903569261603,-0.009982384028185586,0.004315014226864079
logistic_regression,fall_detection,acc_mag_p95,,1.1099486705244856,1.1099486705244856,0.01405176209073391,0.019646718451513622
logistic_regression,fall_detection,acc_mag_range,,0.15379194851791725,0.15379194851791725,-0.007771056093442063,0.002623732856290983
logistic_regression,fall_detection,acc_mag_median,,0.17984241468029533,0.17984241468029533,-0.007398708162066958,0.006843829610961122
logistic_regression,fall_detection,acc_mag_iqr,,0.48616326870073556,-0.48616326870073556,-0.014388156372889238,0.009183350026474425
logistic_regression,fall_detection,gyro_mag_mean,,0.688791118452806,0.688791118452806,0.006414932006435415,0.01228917831637149
logistic_regression,fall_detection,gyro_mag_std,,0.08739748979836076,0.08739748979836076,0.0009864944216088744,0.006897867128140039
logistic_regression,fall_detection,gyro_mag_min,,0.08646020485079374,0.08646020485079374,-0.0034896401308615044,0.006979280261723009
logistic_regression,fall_detection,gyro_mag_max,,0.5559043403867041,0.5559043403867041,0.003041060264690465,0.01316333179336553
logistic_regression,fall_detection,gyro_mag_p95,,0.13367893926832647,0.13367893926832647,0.0014835652542025013,0.006898418178172443
logistic_regression,fall_detection,gyro_mag_range,,0.5656112950894181,0.5656112950894181,0.004339322416936464,0.01044871483245887
logistic_regression,fall_detection,gyro_mag_median,,1.086849552184308,1.086849552184308,0.022954200968566506,0.019632512041083648
